time,Open,High,Low,Close
09-09-19 09:19:59,3371,3371,3352.65,3363.5
09-09-19 09:24:59,3363.85,3363.85,3354.85,3361
09-09-19 09:29:59,3360.5,3369,3355,3368.85
09-09-19 09:34:59,3366.35,3378.4,3366.35,3377
09-09-19 09:39:59,3378,3381.85,3375,3379.15
09-09-19 09:44:58,3379,3380,3376,3377.45
09-09-19 09:49:58,3377.45,3378.5,3370.15,3374.05
09-09-19 09:54:58,3374.15,3379,3374.1,3375
09-09-19 09:59:59,3374.9,3379.9,3372.5,3377
09-09-19 10:04:57,3378.45,3384.9,3376.05,3384
09-09-19 10:09:59,3383.05,3392.45,3383.05,3391.9
09-09-19 10:14:59,3391.9,3399.3,3391.2,3398
09-09-19 10:19:59,3397.05,3407.5,3397,3404
09-09-19 10:24:59,3404,3405.7,3398.45,3403.95
09-09-19 10:29:58,3403.25,3403.35,3399.05,3401.4
09-09-19 10:34:59,3400,3415,3400,3412.4
09-09-19 10:39:58,3413.55,3415,3411,3413
09-09-19 10:44:59,3413.05,3414.55,3402.75,3405
09-09-19 10:49:58,3404.35,3409,3402,3403.4
09-09-19 10:54:58,3402.5,3409.65,3402,3408.7
09-09-19 10:59:59,3409.5,3411.85,3407,3410
09-09-19 11:04:59,3410.9,3413,3410,3412
09-09-19 11:09:59,3412,3418.8,3408,3416.1
09-09-19 11:14:58,3416.5,3419,3413,3413.25
09-09-19 11:19:57,3413.25,3415.4,3409.1,3409.25
09-09-19 11:24:57,3409,3412.85,3409,3412
09-09-19 11:29:54,3411,3412.2,3410.9,3411.55
09-09-19 11:34:59,3411.9,3412,3402,3404
09-09-19 11:39:59,3405.1,3409.25,3404,3407.35
09-09-19 11:44:58,3407.55,3411,3407.15,3409.8
09-09-19 11:49:52,3409.05,3410,3405.9,3409.3
09-09-19 11:54:57,3409.8,3409.8,3406,3408.45
09-09-19 11:59:58,3409,3412,3408.45,3410.05
09-09-19 12:04:57,3410.5,3412.45,3408.75,3409
09-09-19 12:09:55,3409,3410.95,3404.55,3408.2
09-09-19 12:14:59,3409.3,3409.5,3404.95,3406.7
09-09-19 12:19:55,3405.55,3409,3405,3405.5
09-09-19 12:24:58,3405.55,3408.25,3404,3404
09-09-19 12:29:56,3404.5,3409,3403,3406.15
09-09-19 12:34:59,3408.05,3411,3406.1,3410.2
09-09-19 12:39:58,3410,3419,3407.2,3418.9
09-09-19 12:44:59,3418.9,3425.85,3417.2,3425
09-09-19 12:49:59,3424.05,3427,3422.55,3426
09-09-19 12:54:59,3425.15,3432.95,3425,3429.05
09-09-19 12:59:59,3429.95,3430,3424,3425
09-09-19 01:04:59,3425.4,3427,3424,3426
09-09-19 01:09:58,3426,3434.9,3426,3432.1
09-09-19 01:14:59,3432.9,3434.4,3429.05,3434.4
09-09-19 01:19:59,3434.5,3440,3433,3439.85
09-09-19 01:24:59,3439,3447.05,3438.5,3447.05
09-09-19 01:29:59,3447.6,3449.9,3442.15,3442.15
09-09-19 01:34:59,3442.9,3445,3433.1,3436.5
09-09-19 01:39:58,3435.5,3436.5,3428.1,3429.1
09-09-19 01:44:59,3429,3432,3428,3428.25
09-09-19 01:49:59,3428.9,3428.9,3422.8,3424
09-09-19 01:54:59,3423.6,3433.25,3422.1,3432.55
09-09-19 01:59:59,3433.45,3438.8,3431.05,3434
09-09-19 02:04:56,3434.15,3436.05,3432.7,3435.15
09-09-19 02:09:59,3435.15,3439.9,3432,3438.95
09-09-19 02:14:59,3439,3440,3437,3439
09-09-19 02:19:59,3438.3,3441.5,3437.1,3437.1
09-09-19 02:24:58,3437.45,3439.95,3437.2,3438.1
09-09-19 02:29:56,3438.1,3438.55,3434.1,3436
09-09-19 02:34:59,3436,3438,3430.05,3433.7
09-09-19 02:39:59,3433.05,3435.25,3428,3433.8
09-09-19 02:44:58,3433.8,3437.5,3432.5,3435.65
09-09-19 02:49:59,3435.65,3437.95,3433.95,3435.05
09-09-19 02:54:56,3435,3437.6,3434.9,3436.4
09-09-19 02:59:59,3436.25,3443.15,3436.15,3443.15
09-09-19 03:04:59,3444,3446.9,3439.5,3440
09-09-19 03:09:57,3440,3443,3436,3437
09-09-19 03:14:59,3438,3438,3432,3434.85
09-09-19 03:19:58,3435.9,3442.5,3434.8,3438.2
09-09-19 03:24:59,3437.55,3440,3433.05,3434.75
09-09-19 03:29:59,3435.45,3437.2,3424.15,3429
11-09-19 09:19:58,3445.35,3453.25,3436.1,3444.6
11-09-19 09:24:59,3445.4,3456,3438.5,3454.5
11-09-19 09:29:59,3455.25,3455.25,3443.1,3447
11-09-19 09:34:59,3446.05,3449.45,3442.05,3447
11-09-19 09:39:58,3447.9,3450.2,3442.5,3442.5
11-09-19 09:44:59,3443.9,3444.35,3431,3436
