time,Open,High,Low,Close
09/09/2019 09:19:59,350.95,352,349.75,351.5
09/09/2019 09:24:58,351.5,351.9,350.05,351.65
09/09/2019 09:29:59,351.65,352.5,351.1,352.45
09/09/2019 09:34:59,352.5,353.35,352.45,352.7
09/09/2019 09:39:59,352.55,352.75,351.65,351.85
09/09/2019 09:44:58,351.7,351.7,350,350.45
09/09/2019 09:49:58,350.45,351,349.75,350.9
09/09/2019 09:54:59,350.9,351,350.5,350.9
09/09/2019 09:59:59,350.6,350.75,350.25,350.3
09/09/2019 10:04:56,350.15,351,350.15,350.75
09/09/2019 10:09:55,350.8,352.5,350.75,352.25
09/09/2019 10:14:59,352.3,352.3,351.65,352
09/09/2019 10:19:59,352,352.25,351.5,351.95
09/09/2019 10:24:59,351.8,352.75,351.6,352.2
09/09/2019 10:29:54,352.2,352.4,351.7,351.95
09/09/2019 10:34:58,351.9,353,351.75,352.65
09/09/2019 10:39:46,352.5,352.6,351.75,351.85
09/09/2019 10:44:50,351.9,352.15,351.85,352.1
09/09/2019 10:49:59,352,352.9,350.2,350.75
09/09/2019 10:54:57,350.75,351.6,350.55,351.55
09/09/2019 10:59:59,351.55,352,351,351.95
09/09/2019 11:04:59,351.95,352,351.55,351.85
09/09/2019 11:09:58,351.8,353,351.8,352.7
09/09/2019 11:14:59,352.65,353,352.45,352.85
09/09/2019 11:19:59,352.9,353.8,352.1,353.35
09/09/2019 11:24:59,353.4,353.4,352.25,352.75
09/09/2019 11:29:59,352.75,353.7,352.75,353.5
09/09/2019 11:34:56,353.4,353.7,353,353.15
09/09/2019 11:39:59,353.2,353.6,352.85,353.3
09/09/2019 11:44:58,353.3,354,353.2,353.65
09/09/2019 11:49:58,353.35,353.8,353.2,353.6
09/09/2019 11:54:52,353.55,353.85,353.35,353.65
09/09/2019 11:59:44,353.65,353.95,353.2,353.35
09/09/2019 12:04:59,353.4,353.4,352.65,353.15
09/09/2019 12:09:26,353.15,353.5,353,353.25
09/09/2019 12:14:58,353,353.2,352.7,353
09/09/2019 12:19:49,353,353.3,353,353.15
09/09/2019 12:24:59,353.25,353.5,353,353.25
09/09/2019 12:29:58,353.25,354,353,353.95
09/09/2019 12:34:59,354,354,353.45,353.95
09/09/2019 12:39:59,354,355,353.75,354.85
09/09/2019 12:44:51,354.85,355,354.1,354.3
09/09/2019 12:49:59,354,354.15,353.5,353.6
09/09/2019 12:54:56,353.6,354.35,353.4,353.95
09/09/2019 12:59:57,354,354.1,353.65,353.65
09/09/2019 01:04:56,353.65,353.95,353.5,353.6
09/09/2019 01:09:50,353.6,354.35,353.4,354.25
09/09/2019 01:14:58,354.25,354.85,354.05,354.65
09/09/2019 01:19:57,354.65,356,354.55,355.8
09/09/2019 01:24:59,355.75,356,355.5,356
09/09/2019 01:29:59,356,356,355.4,355.8
09/09/2019 01:34:48,355.8,356,355.1,355.6
09/09/2019 01:39:59,355.45,355.6,354.85,355.05
09/09/2019 01:44:57,355.05,355.6,354.9,355.5
09/09/2019 01:49:59,355.45,355.45,354.5,354.6
09/09/2019 01:54:59,354.65,355,354.4,354.95
09/09/2019 01:59:51,354.9,355.05,354.45,354.9
09/09/2019 02:04:55,354.95,355,354.45,354.6
09/09/2019 02:09:58,354.65,354.9,354.3,354.4
09/09/2019 02:14:56,354.3,354.95,354.05,354.95
09/09/2019 02:19:59,354.75,356,354.75,355.75
09/09/2019 02:24:59,355.8,356,355.5,355.85
09/09/2019 02:29:55,355.85,355.9,355.4,355.55
09/09/2019 02:34:50,355.55,355.7,355,355.2
09/09/2019 02:39:59,355.2,355.45,354.8,355.25
09/09/2019 02:44:59,355.4,355.5,354.3,354.55
09/09/2019 02:49:59,354.55,354.75,353.8,354.45
09/09/2019 02:54:58,354.4,354.9,354.1,354.15
09/09/2019 02:59:51,354.35,354.75,353.35,354.6
09/09/2019 03:04:56,354.65,355.9,354.65,355.75
09/09/2019 03:09:58,355.8,356,355.75,355.95
09/09/2019 03:14:59,355.95,356.85,355.9,356.7
09/09/2019 03:19:58,356.6,357,356.4,356.85
09/09/2019 03:24:57,356.85,357,356.7,356.95
09/09/2019 03:29:58,356.95,357.35,356.7,357.2
11/09/2019 09:19:58,361.75,361.75,354.75,356
11/09/2019 09:24:58,355.95,356.75,355.2,355.45
11/09/2019 09:29:58,355.25,357.4,355.2,356.6
11/09/2019 09:34:58,356.7,357.5,356.55,357.25
11/09/2019 09:39:59,357.3,357.9,356.35,356.65
11/09/2019 09:44:57,356.75,356.75,355.85,356.75
11/09/2019 09:49:59,356.75,357.9,356.75,357.85
11/09/2019 09:54:57,357.85,358,356.1,357.35
11/09/2019 09:59:58,357.4,358,357.15,357.4
11/09/2019 10:04:59,357.4,358,357.3,357.7
11/09/2019 10:09:52,357.75,357.95,357.7,357.9
11/09/2019 10:14:56,357.95,358,357,357.5
11/09/2019 10:19:59,357.45,358,357.45,357.65
11/09/2019 10:24:55,357.6,357.9,357.5,357.7
11/09/2019 10:29:56,357.65,357.75,357.2,357.55
11/09/2019 10:34:58,357.6,357.9,357.2,357.8
11/09/2019 10:39:57,357.7,357.85,357.35,357.45
11/09/2019 10:44:58,357.5,357.75,357.45,357.65
11/09/2019 10:49:57,357.55,357.9,357.35,357.65
11/09/2019 10:54:57,357.65,357.8,357.3,357.8
11/09/2019 10:59:57,357.8,358,357.2,357.4
11/09/2019 11:04:59,357.4,357.95,357.2,357.85
11/09/2019 11:09:57,357.8,358.95,357.8,358.8
11/09/2019 11:14:57,358.75,359,358.7,358.85
11/09/2019 11:19:58,358.85,359,358.3,358.5
11/09/2019 11:24:58,358.5,358.5,358.3,358.45
11/09/2019 11:29:58,358.45,359,358.45,358.75
11/09/2019 11:34:57,358.75,358.85,358.6,358.65
11/09/2019 11:39:57,358.65,359,358.6,358.95
11/09/2019 11:44:57,358.85,359,358.8,358.9
11/09/2019 11:49:59,358.9,359,355.8,356
11/09/2019 11:54:58,356,356.95,355.55,356.9
11/09/2019 11:59:57,356.9,357.55,356.65,356.75
11/09/2019 12:04:57,356.7,357.7,356.7,357.55
11/09/2019 12:09:58,357.55,357.55,355.55,355.9
11/09/2019 12:14:58,356,356,355.5,355.95
11/09/2019 12:19:57,355.85,355.9,354.85,355
11/09/2019 12:24:59,354.9,355.4,353.2,354
11/09/2019 12:29:59,353.9,354.45,353.35,353.9
11/09/2019 12:34:59,353.75,355.3,353.7,354.9
11/09/2019 12:39:57,355,355,353.4,353.4
11/09/2019 12:44:58,353.55,353.55,352.65,353.2
11/09/2019 12:49:59,353.2,353.85,352.9,353.4
11/09/2019 12:54:58,353.4,353.45,352.8,353.1
11/09/2019 12:59:58,353.1,353.5,352.75,353.5
11/09/2019 01:04:58,353.4,353.95,353.3,353.6
11/09/2019 01:09:59,353.6,353.85,353.45,353.7
11/09/2019 01:14:58,353.65,353.85,353.35,353.7
11/09/2019 01:19:59,353.55,354,353.4,353.6
11/09/2019 01:24:58,353.45,353.85,353.45,353.65
11/09/2019 01:29:59,353.6,354.35,353.45,354.05
11/09/2019 01:34:58,354.05,354.1,353.6,353.75
11/09/2019 01:39:58,353.6,354,353.35,353.9
11/09/2019 01:44:59,354.05,354.2,353.8,354.05
11/09/2019 01:49:59,354,354.9,353.9,354.9
