time,Open,High,Low,Close
09-09-19 09:19:58,2660,2683.8,2651,2674
09-09-19 09:24:58,2676.7,2677.3,2662.45,2672.75
09-09-19 09:29:58,2672.75,2675.25,2657.1,2665
09-09-19 09:34:57,2662.45,2665.8,2660.85,2664.3
09-09-19 09:39:56,2664,2670.9,2664,2667.45
09-09-19 09:44:58,2667.4,2670.95,2662,2670
09-09-19 09:49:51,2670,2670,2666.05,2668.4
09-09-19 09:54:55,2667.4,2675,2667.4,2674.1
09-09-19 09:59:49,2674.1,2674.1,2663.05,2663.6
09-09-19 10:04:59,2663,2671.4,2662.9,2670.6
09-09-19 10:09:57,2671,2677.4,2669,2677.4
09-09-19 10:14:58,2678,2680,2675.95,2676.85
09-09-19 10:19:54,2677.5,2680.2,2677.05,2677.9
09-09-19 10:24:50,2678.85,2678.9,2674,2675
09-09-19 10:29:54,2675,2680,2675,2678.95
09-09-19 10:34:42,2678.6,2680,2677.1,2678.5
09-09-19 10:39:56,2678.05,2679.5,2677.6,2679
09-09-19 10:44:46,2678.95,2679,2675.15,2677.25
09-09-19 10:49:58,2678.2,2678.2,2675.65,2678
09-09-19 10:54:59,2677.15,2681.85,2677.15,2680
09-09-19 10:59:49,2679.45,2680,2675.4,2677
09-09-19 11:04:54,2678.1,2679.95,2677.55,2678.6
09-09-19 11:09:55,2678.6,2680,2677.9,2680
09-09-19 11:14:54,2680,2681,2675,2675.3
09-09-19 11:19:52,2675.05,2680,2675.05,2679.75
09-09-19 11:24:57,2678.6,2679.95,2677.55,2678.15
09-09-19 11:29:59,2679.2,2679.2,2677.5,2677.5
09-09-19 11:34:57,2676,2680,2675,2679.8
09-09-19 11:39:51,2679.95,2680.6,2678.25,2678.5
09-09-19 11:44:42,2679.5,2679.5,2675.8,2677.05
09-09-19 11:49:47,2678,2680,2677.2,2679.95
09-09-19 11:54:58,2679.5,2679.5,2677,2679.2
09-09-19 11:59:59,2678.05,2679.1,2677,2678.95
09-09-19 12:04:57,2678.95,2679.5,2672.75,2672.75
09-09-19 12:09:55,2672.5,2675,2670,2670.3
09-09-19 12:14:54,2671.7,2671.9,2665.6,2667.5
09-09-19 12:19:55,2668.1,2670.8,2667.3,2667.35
09-09-19 12:24:56,2667.75,2670.95,2667.5,2668
09-09-19 12:29:59,2668.45,2672.5,2668.05,2672
09-09-19 12:34:54,2672,2672.5,2668.5,2671.5
09-09-19 12:39:59,2671.25,2671.7,2671,2671
09-09-19 12:44:59,2671.5,2672.7,2671,2671.8
09-09-19 12:49:37,2671.35,2674,2671,2673.1
