time,Open,High,Low,Close
09/09/2019 09:19:59,236.25,238.25,236.15,237.7
09/09/2019 09:24:59,237.75,238.65,237.4,238.6
09/09/2019 09:29:57,238.45,238.8,238,238.4
09/09/2019 09:34:56,238.6,239.6,238.45,239.2
09/09/2019 09:39:56,239.25,239.4,238.9,239
09/09/2019 09:44:59,239,239.35,237.8,238.3
09/09/2019 09:49:53,238.1,238.4,238,238
09/09/2019 09:54:58,238,238.3,237.95,238.1
09/09/2019 09:59:49,238.05,238.3,237.2,237.5
09/09/2019 10:04:54,237.45,238.05,236.75,238.05
09/09/2019 10:09:45,238.4,239.6,238.25,239.15
09/09/2019 10:14:53,239.1,239.3,238.8,238.95
09/09/2019 10:19:56,238.95,238.95,238.35,238.45
09/09/2019 10:24:51,238.6,238.6,238.05,238.35
09/09/2019 10:29:44,238.15,238.35,237.8,238.15
09/09/2019 10:34:52,238.15,239,238.15,239
09/09/2019 10:39:23,238.8,239.2,238.8,239
09/09/2019 10:44:53,239,239.25,239,239.25
09/09/2019 10:49:40,239.3,239.4,239,239
09/09/2019 10:54:53,239,239.2,239,239.2
09/09/2019 10:59:55,239.35,239.4,239.1,239.3
09/09/2019 11:04:50,239.3,240.25,239.2,240.2
09/09/2019 11:09:51,240,240,239.2,240
09/09/2019 11:14:58,240,240,239.25,239.3
09/09/2019 11:19:59,239.3,239.3,238,238
09/09/2019 11:24:52,238,238.1,237.65,237.85
09/09/2019 11:29:51,237.9,239.45,237.75,239.35
09/09/2019 11:34:34,239.6,239.75,238.5,238.7
09/09/2019 11:39:55,238.75,238.85,238.3,238.3
09/09/2019 11:44:59,238.5,238.5,238,238.25
09/09/2019 11:49:31,238.25,239,238.05,238.05
09/09/2019 11:54:56,238.05,238.2,237.7,237.9
09/09/2019 11:59:49,238,238,237.8,238
09/09/2019 12:04:58,237.9,238.1,237.8,237.8
09/09/2019 12:09:56,237.8,238.7,237.7,238.45
09/09/2019 12:14:58,238.25,238.45,237.1,237.25
09/09/2019 12:19:56,237.05,237.55,236.75,236.75
09/09/2019 12:24:20,236.75,237.2,236.75,237
09/09/2019 12:29:42,236.8,237,236.8,236.9
09/09/2019 12:34:59,236.85,237,236,236.25
09/09/2019 12:39:59,236.25,237.1,236.1,237
09/09/2019 12:44:59,237,237.1,236.95,237
09/09/2019 12:49:59,236.95,237.45,236.95,237.05
09/09/2019 12:54:59,237.2,237.2,236.95,237
09/09/2019 12:59:59,237,237.6,236.9,237.1
09/09/2019 01:04:59,237,237.2,236.9,237
09/09/2019 01:09:59,237,237.2,236.9,236.95
09/09/2019 01:14:59,237,237.3,236.9,237
09/09/2019 01:19:59,237,237.2,236.85,236.95
09/09/2019 01:24:59,237,237.3,237,237
09/09/2019 01:29:59,237,237.2,236.95,237
09/09/2019 01:34:59,237.2,237.85,236.95,237.3
09/09/2019 01:39:57,237.3,237.5,236.95,237.35
09/09/2019 01:44:59,237.1,237.3,236.9,237
09/09/2019 01:49:59,237,237.15,236.1,236.3
09/09/2019 01:54:59,236.4,236.7,236.05,236.65
09/09/2019 01:59:59,236.75,237,236.5,236.5
09/09/2019 02:04:55,236.45,236.8,236.25,236.65
09/09/2019 02:09:59,236.4,236.65,235.9,236.15
09/09/2019 02:14:51,236.4,236.4,236,236.25
09/09/2019 02:19:59,236,236.45,236,236
09/09/2019 02:24:59,236.25,236.5,236,236.05
09/09/2019 02:29:59,236.25,236.3,235.9,236
09/09/2019 02:34:59,236.25,236.4,236,236.1
09/09/2019 02:39:58,236.25,236.35,236,236.1
09/09/2019 02:44:59,236.25,236.3,235,235.1
09/09/2019 02:49:59,235.5,236,235.05,235.1
09/09/2019 02:54:59,235.15,235.5,234.6,235.1
09/09/2019 02:59:57,235,236.95,234.95,236.7
09/09/2019 03:04:57,236.7,237,236.5,236.5
09/09/2019 03:09:59,236.75,237.1,236.65,236.9
09/09/2019 03:14:58,236.9,237,236.7,236.7
09/09/2019 03:19:57,236.7,236.9,236.35,236.35
09/09/2019 03:24:57,236.5,236.5,235.55,235.95
09/09/2019 03:29:56,235.9,236.45,235.45,236.45
11/09/2019 09:19:59,236.75,239.25,236.75,238.3
11/09/2019 09:24:56,238.35,238.85,238,238.6
11/09/2019 09:29:51,238.45,238.65,238.05,238.4
11/09/2019 09:34:59,238.45,239.65,238.3,239.6
11/09/2019 09:39:59,239.6,240.55,239.5,240.45
11/09/2019 09:44:59,240.3,241.6,240.3,241.15
11/09/2019 09:49:59,241.2,242.4,240.95,242.2
11/09/2019 09:54:59,242.25,242.5,241.95,242
11/09/2019 09:59:59,241.85,242,241.3,241.6
11/09/2019 10:04:55,241.55,241.7,240.8,241
11/09/2019 10:09:58,241,241.35,240.85,240.85
11/09/2019 10:14:58,240.8,240.95,240.35,240.7
11/09/2019 10:19:59,240.7,240.85,240.2,240.25
11/09/2019 10:24:52,240.15,240.95,240,240.95
11/09/2019 10:29:47,241,241.25,240.65,240.85
11/09/2019 10:34:55,240.85,241,240.7,240.9
