time,Open,High,Low,Close
09-09-19 09:19:58,476,478.3,475.05,478
09-09-19 09:24:56,478,478.4,475.55,476.8
09-09-19 09:29:59,476.9,477.3,476.05,476.3
09-09-19 09:34:58,476.35,477,476.05,476.95
09-09-19 09:39:56,476.95,478,476.5,477.9
09-09-19 09:44:59,478.2,478.25,475.5,475.8
09-09-19 09:49:56,475.8,476.25,475.6,476
09-09-19 09:54:59,476.2,476.65,475.9,476.5
09-09-19 09:59:57,476.5,476.75,475.6,475.95
09-09-19 10:04:57,475.95,476.25,475.4,475.95
09-09-19 10:09:58,475.75,477,475.75,477
09-09-19 10:14:56,476.9,477.4,476.7,477.2
09-09-19 10:19:55,477.2,477.75,477,477.5
09-09-19 10:24:54,477.5,477.9,477.4,477.4
09-09-19 10:29:49,477.15,477.7,476.8,477.1
09-09-19 10:34:54,477.4,477.9,477.4,477.75
09-09-19 10:39:54,477.8,478.05,477.45,477.95
09-09-19 10:44:59,478,478.7,477.6,478.3
09-09-19 10:49:47,478.35,478.35,477.4,477.7
09-09-19 10:54:58,477.7,478.05,477.55,477.9
09-09-19 10:59:46,477.8,478.1,477.55,477.8
09-09-19 11:04:41,477.8,477.8,476.8,477
09-09-19 11:09:57,477,477.3,476.7,476.7
09-09-19 11:14:59,476.7,476.8,476,476.2
09-09-19 11:19:59,476,476.25,476,476.05
09-09-19 11:24:57,476.2,476.25,475,475.2
09-09-19 11:29:53,475.2,476.6,475.1,476.6
09-09-19 11:34:58,476.6,476.6,475.1,475.4
09-09-19 11:39:59,475.4,476,475.3,476
09-09-19 11:44:48,475.95,476.5,475.75,476.1
09-09-19 11:49:41,476.5,476.5,475.75,476.25
09-09-19 11:54:58,476.15,476.45,476.1,476.25
09-09-19 11:59:48,476.25,476.95,476.1,476.3
09-09-19 12:04:54,476.5,477.2,476.5,476.9
09-09-19 12:09:46,477.1,477.55,476.8,477.55
09-09-19 12:14:36,477.4,477.65,477,477
09-09-19 12:19:47,477.35,477.55,477.2,477.3
09-09-19 12:24:58,477.3,477.45,476.3,476.3
09-09-19 12:29:54,476.35,476.95,476.35,476.65
09-09-19 12:34:55,476.7,477,476.6,476.9
09-09-19 12:39:37,476.95,476.95,476.6,476.6
09-09-19 12:44:53,476.5,477.05,476.3,476.95
09-09-19 12:49:58,476.95,477.4,476.8,477.4
09-09-19 12:54:48,477.15,478.2,477.05,477.65
09-09-19 12:59:56,477.65,478,477.05,477.05
09-09-19 01:04:59,477.1,477.5,476.5,476.8
09-09-19 01:09:57,476.5,477,476.5,476.9
09-09-19 01:14:47,476.9,477.2,476.6,477.1
09-09-19 01:19:55,477,477.55,476.8,477.25
09-09-19 01:24:43,477.3,477.4,477,477.4
09-09-19 01:29:55,477.4,477.5,476.55,476.65
09-09-19 01:34:56,476.65,476.9,475.95,476.85
09-09-19 01:39:56,476.9,477.1,476.5,476.75
09-09-19 01:44:41,476.75,477.2,476.6,477
09-09-19 01:49:49,476.9,476.9,475.1,475.95
09-09-19 01:54:55,475.95,476.15,475.35,476.1
09-09-19 01:59:50,476.1,476.55,475.85,476.3
09-09-19 02:04:58,476.1,476.2,475.85,476.2
09-09-19 02:09:59,476.15,476.4,475.9,476.2
09-09-19 02:14:55,476.05,476.3,476,476.1
09-09-19 02:19:59,476,477,475.9,476.35
09-09-19 02:24:56,476.15,476.75,476.1,476.15
09-09-19 02:29:56,476.2,476.85,476.1,476.4
09-09-19 02:34:56,476.4,477.25,476.4,476.65
09-09-19 02:39:57,476.65,476.7,476.15,476.5
09-09-19 02:44:57,476.3,476.7,473.7,474.05
09-09-19 02:49:59,474.1,474.1,472.1,472.75
09-09-19 02:54:59,472.75,473,472.35,472.7
09-09-19 02:59:53,472.65,474.7,472.6,474.5
09-09-19 03:04:58,474.8,475.35,474.55,474.8
09-09-19 03:09:56,474.8,475.9,474.75,475.9
09-09-19 03:14:58,475.75,475.9,474.9,475.5
09-09-19 03:19:58,475.5,475.6,474.5,475.2
09-09-19 03:24:58,475.1,475.35,473.9,475.2
09-09-19 03:29:56,475.2,475.25,474.05,475
11-09-19 09:19:55,474,477.05,474,477.05
11-09-19 09:24:58,477,477.55,476,477.45
11-09-19 09:29:57,477.45,478,476.95,477.85
11-09-19 09:34:58,477.9,478.3,476.3,476.5
11-09-19 09:39:48,476.5,477.7,476.4,477.2
11-09-19 09:44:59,477.15,477.15,476.1,476.25
11-09-19 09:49:58,476.25,476.45,474.2,474.9
11-09-19 09:54:54,474.9,475.5,474.9,475.45
11-09-19 09:59:59,475.45,475.9,475.45,475.75
11-09-19 10:04:57,475.75,476,475.4,475.5
11-09-19 10:09:56,475.7,475.9,475.5,475.75
11-09-19 10:14:58,475.75,475.85,473.75,473.75
11-09-19 10:19:50,473.8,474.9,473.8,474.9
11-09-19 10:24:59,474.85,475.35,474.5,474.8
11-09-19 10:29:57,474.75,476,474.75,475.75
11-09-19 10:34:59,475.9,476.15,475.75,475.75
11-09-19 10:39:56,475.75,476.2,475.65,476
11-09-19 10:44:50,476,476.2,475.05,475.4
11-09-19 10:49:57,475.1,476.25,475.1,476.05
11-09-19 10:54:58,476.05,476.4,476,476
11-09-19 10:59:50,476,476,475.5,475.5
11-09-19 11:04:58,475.5,475.65,475.25,475.4
11-09-19 11:09:59,475.35,475.45,474.25,475
11-09-19 11:14:58,475,475,474.3,474.5
11-09-19 11:19:58,474.5,474.7,474.15,474.4
11-09-19 11:24:58,474.4,474.95,474.4,474.95
11-09-19 11:29:57,475,475.2,474,474
11-09-19 11:34:42,474.35,474.35,473.8,473.8
11-09-19 11:39:57,473.8,474.25,473.45,474.25
11-09-19 11:44:58,474,474.5,474,474.4
11-09-19 11:49:51,474.35,474.35,474,474.05
11-09-19 11:54:48,474.1,474.15,473.7,473.7
11-09-19 11:59:57,473.7,474.15,473.7,473.95
11-09-19 12:04:47,473.9,474.2,473.9,474
11-09-19 12:09:59,474,474,471.85,472.05
11-09-19 12:14:56,472,472.2,471.45,471.95
11-09-19 12:19:55,472,472.15,471.1,471.35
11-09-19 12:24:57,471.35,471.5,470.65,470.75
11-09-19 12:29:59,470.75,470.95,469.7,470.85
11-09-19 12:34:50,470.85,471.5,470.7,471.35
11-09-19 12:39:52,471.35,471.35,469.8,470.15
11-09-19 12:44:58,470.15,470.8,469.6,470.65
11-09-19 12:49:59,470.65,470.7,469.65,470.15
11-09-19 12:54:59,470.15,470.4,469.65,469.8
11-09-19 12:59:59,469.75,470.05,469.7,469.8
11-09-19 01:04:52,469.8,470.45,469.8,470.35
11-09-19 01:09:59,470.35,471.1,470.15,470.15
11-09-19 01:14:43,470.35,470.35,469.75,470.2
11-09-19 01:19:47,470.3,470.55,470.15,470.4
11-09-19 01:24:55,470.2,470.3,469.75,469.75
11-09-19 01:29:57,469.75,471,469.1,471
11-09-19 01:34:57,470.95,471,469.8,469.95
11-09-19 01:39:59,469.8,470.25,469.4,469.75
11-09-19 01:44:55,469.75,469.9,469.5,469.9
11-09-19 01:49:56,469.75,469.9,469.05,469.05
11-09-19 01:54:48,469.05,469.9,468.1,469.3
11-09-19 01:59:58,469.35,469.95,469.35,469.95
11-09-19 02:04:57,470,470,469.45,469.5
11-09-19 02:09:58,469.5,470,469.45,469.9
11-09-19 02:14:59,469.9,470.5,469.6,470.4
11-09-19 02:19:59,470.4,471.9,470.2,471.85
11-09-19 02:24:57,471.85,472,471.35,471.6
11-09-19 02:29:59,471.8,471.95,471.4,471.8
11-09-19 02:34:59,471.8,472.8,471.7,472.55
11-09-19 02:39:59,472.55,473.3,472.5,472.9
11-09-19 02:44:55,472.95,472.95,471.5,471.5
11-09-19 02:49:59,471.6,471.7,471.1,471.45
11-09-19 02:54:57,471.45,471.6,471.1,471.25
11-09-19 02:59:58,471.25,471.5,470.9,471.25
11-09-19 03:04:58,471.25,472.7,471.25,472.55
11-09-19 03:09:59,472.6,472.7,472.25,472.5
11-09-19 03:14:58,472.45,472.75,471.8,471.9
11-09-19 03:19:58,471.9,472.25,470.7,471.05
11-09-19 03:24:58,471.1,471.8,470.75,471.35
11-09-19 03:29:58,471.3,471.3,470.05,470.7
12-09-19 09:19:56,473.8,473.8,469.6,471
12-09-19 09:24:58,470.95,472.3,470.8,471.7
12-09-19 09:29:54,471.7,472.95,471.2,472.1
12-09-19 09:34:51,472.2,472.75,472.05,472.5
12-09-19 09:39:59,472.4,473.35,472,472
12-09-19 09:44:59,471.8,473.1,471.8,472.75
12-09-19 09:49:50,472.75,473.35,472.35,472.55
12-09-19 09:54:50,472.95,473.2,472.5,472.5
12-09-19 09:59:59,472.5,472.7,471.25,471.25
12-09-19 10:04:59,471.2,471.2,469.4,469.55
12-09-19 10:09:58,469.7,470.5,469.55,469.8
12-09-19 10:14:59,469.95,469.95,469,469.55
12-09-19 10:19:50,469.55,469.9,468.75,469.9
12-09-19 10:24:55,469.9,469.9,469.25,469.65
12-09-19 10:29:54,469.6,469.65,468.6,468.8
12-09-19 10:34:59,468.8,469,468.35,468.35
12-09-19 10:39:58,468.6,468.75,466.55,466.75
12-09-19 10:44:57,466.75,467.65,466.75,466.9
12-09-19 10:49:57,466.8,467.25,466.65,467.1
12-09-19 10:54:59,467.15,467.2,466.65,467
