time,Open,High,Low,Close
0.49999959301/07/2021 09:15:00,244.3,246.5,243.6,244.4
0.49999994201/07/2021 09:20:00,244.75,245,243.35,243.95
0.49999966301/07/2021 09:25:00,243.65,244,242.8,242.85
0.50000001201/07/2021 09:30:00,242.85,245.65,242.85,245.25
0.49999973301/07/2021 09:35:00,245.2,249.2,245.2,248.3
0.50000008201/07/2021 09:40:00,248.3,249.15,247.7,247.8
0.49999980301/07/2021 09:45:00,248,249.75,246.6,248.7
0.49999952301/07/2021 09:50:00,248.8,249.1,247.05,248.25
0.49999987201/07/2021 09:55:00,248.35,248.8,247.3,247.55
0.49999959301/07/2021 10:00:00,247.6,248.9,247.45,248.65
0.49999994201/07/2021 10:05:00,248.7,248.75,247.65,247.95
0.49999966301/07/2021 10:10:00,248,248.05,246.75,247.5
0.50000001201/07/2021 10:15:00,247.3,247.8,246.15,246.45
0.49999973301/07/2021 10:20:00,246.45,247,246.15,246.4
0.50000008201/07/2021 10:25:00,246.5,246.9,246.3,246.55
0.49999980301/07/2021 10:30:00,246.65,246.95,246.3,246.95
0.49999952301/07/2021 10:35:00,246.8,247.75,246.5,246.75
0.49999987201/07/2021 10:40:00,246.85,247.3,246.65,247.2
0.49999959301/07/2021 10:45:00,247.2,247.4,246.6,246.95
0.49999994201/07/2021 10:50:00,246.95,247.35,246.65,247.2
0.49999966301/07/2021 10:55:00,247,247.3,246.7,247
0.50000001201/07/2021 11:00:00,247.15,247.4,246.95,247.35
0.49999973301/07/2021 11:05:00,247.2,247.5,247.15,247.3
0.50000008201/07/2021 11:10:00,247.3,247.5,247.25,247.5
0.49999980301/07/2021 11:15:00,247.55,247.55,247,247.35
0.49999952301/07/2021 11:20:00,247.4,247.55,247.25,247.4
0.49999987201/07/2021 11:25:00,247.4,247.45,247.1,247.35
0.49999959301/07/2021 11:30:00,247.25,247.4,246.95,247.3
0.49999994201/07/2021 11:35:00,247.4,247.8,247.2,247.55
0.49999966301/07/2021 11:40:00,247.5,247.75,247.1,247.3
0.50000001201/07/2021 11:45:00,247.35,247.45,245.5,246.45
0.49999973301/07/2021 11:50:00,246.4,246.7,244,245.35
0.50000008201/07/2021 11:55:00,245.35,245.8,245.25,245.7
0.49999980301/07/2021 12:00:00,245.5,246,245.45,245.85
0.49999952301/07/2021 12:05:00,246.05,246.3,245.55,245.6
0.49999987201/07/2021 12:10:00,245.55,246,245.55,245.6
0.49999959301/07/2021 12:15:00,245.75,245.95,245.6,245.9
0.49999994201/07/2021 12:20:00,245.95,246.2,245.1,245.75
0.49999966301/07/2021 12:25:00,245.85,246.15,245.65,246
0.50000001201/07/2021 12:30:00,246,246.75,245.8,246.7
0.49999973301/07/2021 12:35:00,246.75,248.95,246.35,248.5
0.50000008201/07/2021 12:40:00,248.5,248.55,247.25,247.8
0.49999980301/07/2021 12:45:00,247.9,247.95,247.35,247.55
0.49999952301/07/2021 12:50:00,247.35,247.95,247.25,247.8
0.49999987201/07/2021 12:55:00,247.95,248.35,247.35,248.25
0.49999959301/07/2021 13:00:00,248.3,248.3,247.65,248
0.49999994201/07/2021 13:05:00,248,248.1,247.3,247.4
0.49999966301/07/2021 13:10:00,247.3,247.55,247.3,247.5
0.50000001201/07/2021 13:15:00,247.3,247.4,246.5,246.6
0.49999973301/07/2021 13:20:00,246.9,247.6,246.6,247.4
0.50000008201/07/2021 13:25:00,247.35,247.55,246.8,247
0.49999980301/07/2021 13:30:00,247,247.3,246.6,246.7
0.49999952301/07/2021 13:35:00,246.95,247,246.55,246.85
0.49999987201/07/2021 13:40:00,246.75,246.95,246.35,246.65
0.49999959301/07/2021 13:45:00,246.7,246.8,246.45,246.7
0.49999994201/07/2021 13:50:00,246.7,246.75,246.2,246.65
0.49999966301/07/2021 13:55:00,246.7,246.95,246.55,246.95
0.50000001201/07/2021 14:00:00,246.85,246.95,246.35,246.8
0.49999973301/07/2021 14:05:00,246.8,246.8,246.1,246.8
0.50000008201/07/2021 14:10:00,246.7,247,246.45,246.5
0.49999980301/07/2021 14:15:00,246.55,246.85,246.5,246.75
0.49999952301/07/2021 14:20:00,246.7,246.85,246.5,246.75
0.49999987201/07/2021 14:25:00,246.7,247.3,246.6,247.3
0.49999959301/07/2021 14:30:00,247.2,247.7,247.05,247.3
0.49999994201/07/2021 14:35:00,247.3,247.6,247.1,247.25
0.49999966301/07/2021 14:40:00,247.1,247.3,246.6,246.9
0.50000001201/07/2021 14:45:00,246.8,247.35,246.8,247.1
0.49999973301/07/2021 14:50:00,247.2,248.2,247.05,247.65
0.50000008201/07/2021 14:55:00,247.65,247.65,246.6,246.75
0.49999980301/07/2021 15:00:00,246.8,247,246.6,246.95
0.49999952301/07/2021 15:05:00,246.85,247.85,246.7,247.15
0.49999987201/07/2021 15:10:00,247.15,247.85,246.7,247.3
0.49999959301/07/2021 15:15:00,247.25,247.65,246.75,247
0.49999994201/07/2021 15:20:00,247,247.2,246.45,246.9
0.49999966301/07/2021 15:25:00,246.9,247.15,246.4,247
0.50000001201/07/2021 15:30:00,246.95,247.05,246.95,247.05
0.50000008201/07/2021 15:40:00,247.05,247.05,247.05,247.05
0.49999980301/07/2021 15:45:00,247.05,247.05,247.05,247.05
0.49999952301/07/2021 15:50:00,247.05,247.05,247.05,247.05
0.49999987201/07/2021 15:55:00,247.05,247.05,247.05,247.05
0.49999959301/07/2021 16:45:00,247.05,247.05,247.05,247.05
0.49999952302/07/2021 09:05:00,249,249,248.3,248.3
0.49999959302/07/2021 09:15:00,248.6,249.7,247.7,249.3
0.49999994202/07/2021 09:20:00,249.1,249.2,246.5,246.5
0.49999966302/07/2021 09:25:00,246.6,248.05,246.6,247.55
0.50000001202/07/2021 09:30:00,247.5,248.35,247.3,248.25
0.49999973302/07/2021 09:35:00,248.25,248.4,247.7,247.95
0.50000008202/07/2021 09:40:00,247.95,249.15,247.55,248.2
0.49999980302/07/2021 09:45:00,248,248.5,247.15,247.45
0.49999952302/07/2021 09:50:00,247.5,248.05,247.1,248.05
0.49999987202/07/2021 09:55:00,248.05,248.45,247.5,248.05
0.49999959302/07/2021 10:00:00,248.3,248.35,247.95,248.05
0.49999994202/07/2021 10:05:00,248.2,248.25,247.75,248
0.49999966302/07/2021 10:10:00,248,248.05,247.7,247.7
0.50000001202/07/2021 10:15:00,247.85,247.85,247.15,247.3
0.49999973302/07/2021 10:20:00,247.3,247.5,246.1,246.65
0.50000008202/07/2021 10:25:00,246.65,247,246,246.05
0.49999980302/07/2021 10:30:00,246,246.65,245.5,246.15
0.49999952302/07/2021 10:35:00,246,246.25,245.8,245.9
0.49999987202/07/2021 10:40:00,246,246.4,245.8,246.1
0.49999959302/07/2021 10:45:00,246.1,246.25,245.3,245.5
0.49999994202/07/2021 10:50:00,245.4,245.55,244.55,245.25
0.49999966302/07/2021 10:55:00,245.05,245.4,244.8,245.35
0.50000001202/07/2021 11:00:00,245.3,245.5,245.05,245.4
0.49999973302/07/2021 11:05:00,245.3,245.55,244.9,245.05
0.50000008202/07/2021 11:10:00,245.05,245.15,244.2,244.45
0.49999980302/07/2021 11:15:00,244.45,245.35,244.15,245.35
0.49999952302/07/2021 11:20:00,245.3,245.45,245,245.35
0.49999987202/07/2021 11:25:00,245.35,245.5,244.75,245.1
0.49999959302/07/2021 11:30:00,245.25,246.85,245.25,246.75
0.49999994202/07/2021 11:35:00,246.8,247.25,246.1,246.15
0.49999966302/07/2021 11:40:00,246.1,246.25,245.65,246.25
0.50000001202/07/2021 11:45:00,246.25,246.4,245.75,246.25
0.49999973302/07/2021 11:50:00,246,246.9,245.95,246.75
0.50000008202/07/2021 11:55:00,246.8,247.1,246.55,246.85
0.49999980302/07/2021 12:00:00,247,247.45,246.85,247.3
0.49999952302/07/2021 12:05:00,247.3,247.4,246.65,246.75
0.49999987202/07/2021 12:10:00,246.75,248.1,246.7,247.8
0.49999959302/07/2021 12:15:00,247.85,248.25,247.25,248
0.49999994202/07/2021 12:20:00,248,248.3,247.4,248.2
0.49999966302/07/2021 12:25:00,248.2,251,248,250.5
0.50000001202/07/2021 12:30:00,250.7,253.8,250.45,253.8
0.49999973302/07/2021 12:35:00,253.55,253.9,252.3,252.6
0.50000008202/07/2021 12:40:00,252.6,252.75,251.25,251.3
0.49999980302/07/2021 12:45:00,251.4,251.4,249.05,250.5
0.49999952302/07/2021 12:50:00,250.6,251.95,250.05,251.85
0.49999987202/07/2021 12:55:00,251.85,251.95,250.65,250.8
0.49999959302/07/2021 13:00:00,250.9,251.2,249.25,249.75
0.49999994202/07/2021 13:05:00,249.55,250,249.35,249.95
0.49999966302/07/2021 13:10:00,250,250.8,249.9,250.5
0.50000001202/07/2021 13:15:00,250.7,250.7,249.3,249.65
0.49999973302/07/2021 13:20:00,249.5,249.75,249.25,249.75
0.50000008202/07/2021 13:25:00,249.75,250.35,249.5,250.3
0.49999980302/07/2021 13:30:00,250.35,250.6,249.95,250.35
0.49999952302/07/2021 13:35:00,250.25,250.25,249.7,249.7
0.49999987202/07/2021 13:40:00,249.75,250,249.7,250
0.49999959302/07/2021 13:45:00,250,250.25,248.8,248.9
0.49999994202/07/2021 13:50:00,248.9,249.35,248.5,249.3
0.49999966302/07/2021 13:55:00,249.15,249.95,249.15,249.65
0.50000001202/07/2021 14:00:00,249.85,249.85,248.65,248.65
0.49999973302/07/2021 14:05:00,248.75,249.5,248.45,249.45
0.50000008202/07/2021 14:10:00,249.25,249.6,249.25,249.45
0.49999980302/07/2021 14:15:00,249.25,249.5,248.8,249.45
0.49999952302/07/2021 14:20:00,249.45,250.5,249.45,250
0.49999987202/07/2021 14:25:00,249.95,250.45,249.7,249.85
0.49999959302/07/2021 14:30:00,249.9,250,249.05,249.2
0.49999994202/07/2021 14:35:00,249.3,249.7,248.95,249.5
0.49999966302/07/2021 14:40:00,249.5,250.55,249.35,250
0.50000001202/07/2021 14:45:00,250,250.4,249.75,250
0.49999973302/07/2021 14:50:00,250,250.05,249.3,249.65
0.50000008202/07/2021 14:55:00,249.9,250,249.15,249.8
0.49999980302/07/2021 15:00:00,249.75,250,248.45,248.55
0.49999952302/07/2021 15:05:00,248.6,249.35,248.25,249.35
0.49999987202/07/2021 15:10:00,249.45,249.65,248.95,249.1
0.49999959302/07/2021 15:15:00,249.1,249.85,248.65,248.95
0.49999994202/07/2021 15:20:00,249,249.15,248.5,248.85
0.49999966302/07/2021 15:25:00,249,249.75,247.45,248
0.50000001202/07/2021 15:30:00,249,249,248.95,248.95
0.49999973302/07/2021 15:35:00,248.95,248.95,248.95,248.95
0.50000008202/07/2021 15:40:00,249,249,248.95,248.95
0.49999980302/07/2021 15:45:00,248.95,249,248.95,248.95
0.49999952302/07/2021 15:50:00,248.95,249,248.95,249
0.49999987202/07/2021 15:55:00,248.95,248.95,248.95,248.95
0.49999987202/07/2021 16:40:00,248.95,248.95,248.95,248.95
0.49999952305/07/2021 09:05:00,249.2,251,249.2,251
0.49999959305/07/2021 09:15:00,250.5,250.8,248,248.7
0.49999994205/07/2021 09:20:00,248.95,250.1,248.4,249.8
0.49999966305/07/2021 09:25:00,249.85,249.85,247.15,248.25
0.50000001205/07/2021 09:30:00,248.25,248.45,247.65,248.45
0.49999973305/07/2021 09:35:00,248.2,248.55,247.7,248.05
0.50000008205/07/2021 09:40:00,247.95,248.9,247.7,248.85
0.49999980305/07/2021 09:45:00,248.9,249.1,248.25,248.75
0.49999952305/07/2021 09:50:00,248.3,248.8,248.3,248.8
0.49999987205/07/2021 09:55:00,248.55,249.15,248.25,248.5
0.49999959305/07/2021 10:00:00,248.6,248.6,247.9,248.2
0.49999994205/07/2021 10:05:00,248.2,248.5,247.8,247.9
0.49999966305/07/2021 10:10:00,248,248.65,247.85,248.65
0.50000001205/07/2021 10:15:00,248.6,248.95,248.2,248.7
0.49999973305/07/2021 10:20:00,248.65,248.95,248,248.45
0.50000008205/07/2021 10:25:00,248.6,248.9,247.5,247.6
0.49999980305/07/2021 10:30:00,247.6,248,247.6,247.8
0.49999952305/07/2021 10:35:00,247.85,247.85,247.4,247.65
0.49999987205/07/2021 10:40:00,247.4,247.75,247.3,247.5
0.49999959305/07/2021 10:45:00,247.5,247.8,247.4,247.8
0.49999994205/07/2021 10:50:00,247.8,248.15,247.6,247.95
0.49999966305/07/2021 10:55:00,247.95,248.1,247.6,247.9
0.50000001205/07/2021 11:00:00,247.9,248,247.65,247.75
0.49999973305/07/2021 11:05:00,247.85,247.85,247,247.4
0.50000008205/07/2021 11:10:00,247.25,247.25,245.9,246.55
0.49999980305/07/2021 11:15:00,246.65,247.6,246.4,247.05
0.49999952305/07/2021 11:20:00,247.05,247.5,246.5,246.5
0.49999987205/07/2021 11:25:00,246.7,247,246.6,246.95
0.49999959305/07/2021 11:30:00,246.95,247,246.4,246.5
0.49999994205/07/2021 11:35:00,246.5,246.75,246.35,246.6
0.49999966305/07/2021 11:40:00,246.6,246.9,246.6,246.8
0.50000001205/07/2021 11:45:00,246.8,247.25,246.7,247.15
0.49999973305/07/2021 11:50:00,247.15,247.35,247,247.3
0.50000008205/07/2021 11:55:00,247.1,247.3,246.95,247.15
0.49999980305/07/2021 12:00:00,247.15,247.3,246.85,246.95
0.49999952305/07/2021 12:05:00,246.95,247,246.8,247
0.49999987205/07/2021 12:10:00,247,247.5,246.85,247.2
0.49999959305/07/2021 12:15:00,247.05,247.45,247,247.15
0.49999994205/07/2021 12:20:00,247.05,247.6,247,247.6
0.49999966305/07/2021 12:25:00,247.5,247.95,247.5,247.95
0.50000001205/07/2021 12:30:00,247.9,247.95,247.1,247.25
0.49999973305/07/2021 12:35:00,247.1,247.1,246.75,246.95
0.50000008205/07/2021 12:40:00,246.8,247.2,246.5,246.65
0.49999980305/07/2021 12:45:00,246.95,246.95,246.3,246.6
0.49999952305/07/2021 12:50:00,246.5,246.65,245.5,246.05
0.49999987205/07/2021 12:55:00,246.05,247.15,245.8,247
0.49999959305/07/2021 13:00:00,246.8,247.25,246.55,247.25
0.49999994205/07/2021 13:05:00,247.25,247.8,247.15,247.75
0.49999966305/07/2021 13:10:00,247.8,248.1,247.4,247.7
0.50000001205/07/2021 13:15:00,247.6,248.25,247.6,248.05
0.49999973305/07/2021 13:20:00,248,248.05,247.55,247.75
0.50000008205/07/2021 13:25:00,247.75,247.95,247.55,247.85
0.49999980305/07/2021 13:30:00,247.6,247.9,247.3,247.7
0.49999952305/07/2021 13:35:00,247.5,247.9,247.35,247.85
0.49999987205/07/2021 13:40:00,247.7,247.85,247.05,247.45
0.49999959305/07/2021 13:45:00,247.4,247.8,247.25,247.65
0.49999994205/07/2021 13:50:00,247.7,247.8,246.75,246.95
0.49999966305/07/2021 13:55:00,247,247.55,247,247.3
0.50000001205/07/2021 14:00:00,247.25,247.95,247.25,247.5
0.49999973305/07/2021 14:05:00,247.75,247.95,247.55,247.75
0.50000008205/07/2021 14:10:00,247.75,247.75,247.3,247.55
0.49999980305/07/2021 14:15:00,247.5,247.75,247,247.35
0.49999952305/07/2021 14:20:00,247.35,247.45,246.5,247.05
0.49999987205/07/2021 14:25:00,247.05,248.1,246.9,247.85
0.49999959305/07/2021 14:30:00,247.6,248,247.5,247.75
0.49999994205/07/2021 14:35:00,247.55,247.9,247.5,247.55
0.49999966305/07/2021 14:40:00,247.55,248,247.55,247.75
0.50000001205/07/2021 14:45:00,247.75,248.2,247.15,247.35
0.49999973305/07/2021 14:50:00,247.4,247.4,246.95,247.25
0.50000008205/07/2021 14:55:00,247.25,247.9,247.1,247.65
0.49999980305/07/2021 15:00:00,247.55,248,247.4,247.9
