time,Open,High,Low,Close
09/09/2019 09:19:25,888.55,888.55,875.3,883.95
09/09/2019 09:24:48,884,884.15,881,883
09/09/2019 09:29:58,883.05,884,881,882
09/09/2019 09:34:31,881.85,883.1,881.85,882.8
09/09/2019 09:39:55,882.85,883.95,882.65,883.2
09/09/2019 09:44:58,883.2,883.2,881.05,882.7
09/09/2019 09:49:34,882.7,883.2,882.25,883.2
09/09/2019 09:54:45,883.2,883.2,880.95,882
09/09/2019 09:59:28,882.1,883.1,882,882.65
09/09/2019 10:04:58,882.65,882.65,881.7,881.85
09/09/2019 10:09:56,881.85,884,881.65,883.95
09/09/2019 10:14:49,883.95,883.95,882,883.05
09/09/2019 10:19:32,883.2,883.9,883.1,883.9
09/09/2019 10:24:24,883.7,884,883.4,883.95
09/09/2019 10:29:56,882.9,884.15,882.9,884.15
09/09/2019 10:34:36,884.4,884.4,883.35,883.5
09/09/2019 10:39:57,885.9,886,884.05,884.95
09/09/2019 10:44:41,884,884.8,884,884.05
09/09/2019 10:49:51,884,887,882,885.45
09/09/2019 10:54:57,885.8,886.35,884.75,885.75
09/09/2019 10:59:46,886.35,886.35,884,884
09/09/2019 11:04:50,883.95,884.5,882.9,884.35
09/09/2019 11:09:59,884.25,885.45,883.95,884.7
09/09/2019 11:14:58,884.5,885,884.3,884.75
09/09/2019 11:19:53,884.8,885,884.25,885
09/09/2019 11:24:59,884.95,885,883.85,884.5
09/09/2019 11:29:59,884.5,885,883.25,883.5
09/09/2019 11:34:56,883.65,884.95,883.5,884.95
09/09/2019 11:39:33,885,885,883,883.95
09/09/2019 11:44:47,884,884,883.85,883.85
09/09/2019 11:49:40,883.85,884,881.45,883.8
09/09/2019 11:54:23,883.8,884,883.5,883.5
09/09/2019 11:59:53,883.45,883.5,883.45,883.5
09/09/2019 12:04:56,883.5,884.5,883.1,883.65
09/09/2019 12:09:55,883.9,885,883.65,884.95
09/09/2019 12:13:57,884.95,884.95,883.75,884
09/09/2019 12:19:45,884,884.95,883.5,884.2
09/09/2019 12:24:51,884,884.3,883.55,883.7
09/09/2019 12:29:57,883.75,884.7,883.75,884.5
09/09/2019 12:34:01,884.5,885,883.05,884.05
09/09/2019 12:39:49,884.2,884.5,884,884.05
09/09/2019 12:44:34,884.1,884.9,883.5,884
09/09/2019 12:49:04,884.1,885,884.1,885
09/09/2019 12:54:45,885,885,885,885
09/09/2019 12:59:49,884.75,885.1,883.95,884
09/09/2019 01:03:32,884,884.3,883.5,884.25
09/09/2019 01:08:08,884.25,884.25,883.75,884
09/09/2019 01:12:38,884,884,884,884
09/09/2019 01:19:15,883.95,884.25,883.8,883.9
09/09/2019 01:24:15,883.25,884.35,883.25,884.15
09/09/2019 01:29:56,884.5,884.5,884,884
09/09/2019 01:33:57,884,885,883.5,885
09/09/2019 01:39:55,884.65,885,884.4,884.45
09/09/2019 01:44:59,884.7,884.7,883.05,883.05
09/09/2019 01:48:21,883.95,884.45,883,883.95
09/09/2019 01:54:58,883.6,884.05,883,884.05
09/09/2019 01:59:52,884.7,884.7,883.35,883.5
09/09/2019 02:04:54,883.6,884.7,883.6,884.25
09/09/2019 02:09:25,884.7,884.75,884.45,884.5
09/09/2019 02:14:51,884.5,884.9,884.45,884.9
09/09/2019 02:18:20,884.95,884.95,884.45,884.5
09/09/2019 02:24:47,884.5,884.5,883.25,883.45
09/09/2019 02:29:44,883.45,884.25,883,883.95
09/09/2019 02:34:59,883.5,883.5,882.65,883.5
09/09/2019 02:39:59,881.2,884.5,881.2,884.2
09/09/2019 02:44:59,884.5,884.6,883.6,884.5
09/09/2019 02:49:59,884.5,884.7,883.25,884
09/09/2019 02:54:59,884,884,883.7,884
09/09/2019 02:59:59,883.7,884,883,883.5
09/09/2019 03:04:59,883.5,884,883.4,884
09/09/2019 03:09:57,884,904,883.25,902.05
09/09/2019 03:14:59,902.5,902.5,893.95,894
09/09/2019 03:19:41,894.5,896.2,894.1,895.55
09/09/2019 03:24:57,895.85,897,895.55,895.55
09/09/2019 03:29:59,895.55,896.95,895.55,896.95
11/09/2019 09:19:58,893,893,883.45,891.7
11/09/2019 09:24:33,890.15,894.45,890,893
11/09/2019 09:29:42,891.7,894.1,891.7,893.9
11/09/2019 09:33:38,893.9,894,892.5,893.45
11/09/2019 09:39:06,893.4,893.4,892.15,892.45
11/09/2019 09:44:55,892.1,893,892,892.35
11/09/2019 09:49:46,892.35,892.35,890.55,891.15
11/09/2019 09:54:47,891.1,891.1,889.5,891
11/09/2019 09:59:59,891.05,893.95,891.05,893.95
11/09/2019 10:04:40,893.85,893.85,892.05,892.35
11/09/2019 10:09:59,892.35,893.8,892.1,893.05
11/09/2019 10:14:57,893.6,904,892,899.75
11/09/2019 10:19:59,900,906.6,899.3,906.5
11/09/2019 10:24:59,906.3,918.95,906,917.55
11/09/2019 10:29:58,917.1,929,916.4,927
11/09/2019 10:34:53,928,942,928,936.75
11/09/2019 10:39:59,936,939.6,936,936.45
11/09/2019 10:44:59,937.4,937.4,928,930
11/09/2019 10:49:58,930.25,936.95,930,935.1
11/09/2019 10:54:49,935.1,935.9,933.1,934.15
11/09/2019 10:59:48,934.75,935.75,934,935.7
11/09/2019 11:04:59,935.6,937.8,934.5,937
11/09/2019 11:09:56,936.55,936.9,936,936
11/09/2019 11:14:59,936.05,936.5,935,936
11/09/2019 11:19:58,936,936,934.5,934.95
11/09/2019 11:24:57,934.95,934.95,932,934.9
11/09/2019 11:29:59,934.9,935,933.3,935
11/09/2019 11:34:43,935,935.1,934.35,934.85
11/09/2019 11:39:56,934.5,934.85,933.7,934.45
