time,Open,High,Low,Close
09/09/2019 9:19:58,2243.3,2243.3,2219.05,2221.25
09/09/2019 9:24:58,2221,2226.65,2220,2224.8
09/09/2019 9:29:59,2224.65,2225.7,2222.35,2225
09/09/2019 9:34:59,2224.8,2229,2224.2,2227.7
09/09/2019 9:39:59,2227.7,2228.35,2225.8,2227.75
09/09/2019 9:44:57,2227.8,2229,2223.1,2224.4
09/09/2019 9:49:59,2224,2225.9,2223.5,2225.2
09/09/2019 9:54:59,2225.2,2229.95,2225.2,2229.95
09/09/2019 9:59:59,2229.95,2230.1,2226.3,2226.8
09/09/2019 10:04:59,2226.75,2228.8,2225.7,2228.6
09/09/2019 10:09:59,2228.6,2239,2228.6,2239
09/09/2019 10:14:59,2239,2243.25,2236,2239
09/09/2019 10:19:59,2238.65,2243.45,2238.45,2242.25
09/09/2019 10:24:59,2242.3,2242.8,2238.6,2240.6
09/09/2019 10:29:59,2241,2241.7,2238.9,2241.15
09/09/2019 10:34:59,2241.7,2248.15,2241.55,2247.35
09/09/2019 10:39:59,2247.35,2248.05,2245.35,2247.95
09/09/2019 10:44:59,2248.1,2249,2245.4,2245.4
09/09/2019 10:49:58,2246,2246.85,2244,2245
09/09/2019 10:54:59,2244.7,2251.5,2244.15,2250.8
09/09/2019 10:59:59,2250.45,2252.35,2249.1,2251.25
09/09/2019 11:04:58,2252,2254.8,2251.3,2253.6
09/09/2019 11:09:59,2253,2253.8,2251,2252.6
09/09/2019 11:14:59,2253,2253,2249.7,2251
09/09/2019 11:19:59,2250.95,2252.35,2250,2252
09/09/2019 11:24:58,2252,2252.4,2250,2251.9
09/09/2019 11:29:59,2252,2252.4,2250.55,2251.05
09/09/2019 11:34:59,2251.75,2253.65,2250.6,2253
09/09/2019 11:39:59,2253,2253,2250.55,2251.6
09/09/2019 11:44:59,2251.65,2254,2251.5,2253.8
09/09/2019 11:49:59,2253.9,2257,2253.5,2254.75
09/09/2019 11:54:58,2254.9,2255,2252,2254.25
09/09/2019 11:59:57,2254.25,2254.8,2253.95,2254.5
09/09/2019 12:04:59,2254,2256.55,2253.8,2256.05
09/09/2019 12:09:59,2256.1,2258.9,2255.6,2257.25
09/09/2019 12:14:59,2257.25,2258.35,2256,2256.3
09/09/2019 12:19:59,2256.3,2257.7,2253.55,2254.6
09/09/2019 12:24:59,2254.6,2255.55,2249.2,2249.2
09/09/2019 12:29:59,2249.3,2254,2249.05,2253.8
09/09/2019 12:34:59,2253.8,2255.95,2253.7,2255.15
09/09/2019 12:39:59,2255.15,2256.8,2255,2255.65
09/09/2019 12:44:57,2255.6,2258.9,2255.6,2258.05
09/09/2019 12:49:59,2258,2260.7,2258,2259.65
09/09/2019 12:54:59,2259.3,2260.7,2259.25,2260.05
09/09/2019 12:59:58,2260,2260.5,2259,2259.7
09/09/2019 1:04:59,2259.85,2260.5,2259.6,2260
09/09/2019 1:09:59,2260,2260.75,2259,2260.05
09/09/2019 1:14:59,2260.35,2260.35,2258,2258.9
09/09/2019 1:19:58,2258.9,2260,2256.4,2257.75
09/09/2019 1:24:59,2257.7,2260,2257.45,2258.85
09/09/2019 1:29:59,2258.85,2259.55,2250.55,2252.1
09/09/2019 1:34:59,2251.8,2253.2,2250,2252.6
09/09/2019 1:39:58,2252.85,2253.9,2248.15,2250
09/09/2019 1:44:59,2250,2252.25,2249.2,2250.2
09/09/2019 1:49:59,2250.95,2250.95,2246.05,2247.5
09/09/2019 1:54:58,2247.25,2252.25,2247.05,2252.2
09/09/2019 1:59:59,2252.2,2253.5,2250.1,2251.4
09/09/2019 2:04:59,2251.45,2253.2,2250.3,2251.2
09/09/2019 2:09:58,2251.2,2254.7,2250.7,2253.4
09/09/2019 2:14:58,2252.75,2254.7,2252.75,2254.2
09/09/2019 2:19:59,2254.6,2255.65,2253.8,2253.8
09/09/2019 2:24:59,2254,2254.8,2253.1,2253.5
09/09/2019 2:29:59,2253.8,2253.9,2248.95,2249.4
