time,Open,High,Low,Close
09/09/2019 9:19:56,940.8,940.8,936,940
09/09/2019 9:24:45,939.15,940.6,938.4,940.6
09/09/2019 9:29:32,940.5,940.5,938.5,939.55
09/09/2019 9:34:59,940.5,948,940,947
09/09/2019 9:39:56,946.95,949.1,946,949.1
09/09/2019 9:44:59,948.7,949.85,948.7,949
09/09/2019 9:49:24,949,949,947.45,947.8
09/09/2019 9:54:57,948,948.45,947,948.35
09/09/2019 9:58:54,947,947.9,947,947
09/09/2019 10:04:18,947.35,948,947,948
09/09/2019 10:09:49,947.35,952.45,947.35,951.45
09/09/2019 10:14:53,952.15,952.15,950,950.9
09/09/2019 10:19:45,951,952,950.5,952
09/09/2019 10:24:52,952,952,951.1,951.9
09/09/2019 10:29:01,951.9,951.9,951.1,951.1
09/09/2019 10:34:42,951.9,951.9,950.45,951.9
09/09/2019 10:37:25,951.9,951.9,950.3,951.45
09/09/2019 10:44:59,951,951,948,948.05
09/09/2019 10:49:59,948.05,949.35,947.4,948.1
09/09/2019 10:54:56,948.05,949,947.6,949
09/09/2019 10:59:54,949,949,946.6,948.3
09/09/2019 11:04:55,948.25,949.35,948.25,948.65
09/09/2019 11:09:04,948.65,949,948.65,948.65
09/09/2019 11:13:39,948.65,949,947.9,948.1
09/09/2019 11:19:26,948.95,948.95,948.1,948.95
09/09/2019 11:24:30,948.95,948.95,948.25,948.25
09/09/2019 11:29:24,948.95,948.95,948.75,948.75
09/09/2019 11:34:55,948.7,949,947.05,947.1
09/09/2019 11:39:50,948,949.45,946.1,948
09/09/2019 11:44:44,949.45,949.75,949.05,949.05
09/09/2019 11:49:49,950,950,949.1,949.2
09/09/2019 11:54:54,949.55,949.55,945,946.15
09/09/2019 11:59:14,946.6,947.85,944.15,945
09/09/2019 12:03:25,945.4,945.7,944.2,944.2
09/09/2019 12:09:59,945.7,946.5,944.6,946.35
09/09/2019 12:13:37,946.35,946.5,945,945
09/09/2019 12:19:49,945,946.4,944.8,945.05
09/09/2019 12:24:42,945.05,946.3,944.6,946.3
09/09/2019 12:29:31,945.9,946.5,945,945
09/09/2019 12:34:59,945,946.4,945,945.5
09/09/2019 12:39:02,946.35,946.35,944.3,944.3
09/09/2019 12:44:17,945,945,945,945
09/09/2019 12:49:44,945,945.7,944.7,945
09/09/2019 12:54:24,945,945,944.5,945
