time,Open,High,Low,Close
09/09/2019 09:19:59,244.35,244.5,243.55,243.85
09/09/2019 09:24:59,243.8,244,243.4,243.9
09/09/2019 09:29:59,243.95,244.75,243.85,244.75
09/09/2019 09:34:59,244.65,244.75,244.3,244.4
09/09/2019 09:39:59,244.4,244.65,244,244
09/09/2019 09:44:59,244.05,244.05,243.6,243.95
09/09/2019 09:49:58,243.85,244.3,243.8,244.3
09/09/2019 09:54:59,244.3,244.9,244.3,244.8
09/09/2019 09:59:58,244.85,244.85,244.2,244.35
09/09/2019 10:04:59,244.35,244.75,244.05,244.75
09/09/2019 10:09:58,244.75,245.4,244.65,245.1
09/09/2019 10:14:59,245.25,245.55,245,245.3
09/09/2019 10:19:58,245.15,245.4,245.05,245.35
09/09/2019 10:24:57,245.4,245.45,245.1,245.3
09/09/2019 10:29:58,245.5,245.6,245.25,245.55
09/09/2019 10:34:59,245.35,246,245.35,245.6
09/09/2019 10:39:59,245.7,246.15,245.4,246
09/09/2019 10:44:58,245.95,246.1,245.7,245.95
09/09/2019 10:49:59,245.95,246.15,245.7,246.1
09/09/2019 10:54:59,246.1,246.4,246,246.1
09/09/2019 10:59:59,246.25,246.5,246.1,246.35
09/09/2019 11:04:56,246.4,246.5,246.15,246.3
09/09/2019 11:09:59,246.3,246.3,245.8,245.95
09/09/2019 11:14:57,245.95,246,245.8,246
09/09/2019 11:19:59,246,246,245.8,245.9
09/09/2019 11:24:59,245.9,246,245.6,245.8
09/09/2019 11:29:58,245.9,246.1,245.7,246.1
09/09/2019 11:34:57,246.1,246.15,245.55,245.7
09/09/2019 11:39:57,245.8,246,245.65,245.95
09/09/2019 11:44:58,245.9,246.15,245.8,246
09/09/2019 11:49:58,246.15,246.15,245.9,246.05
09/09/2019 11:54:54,246.1,246.5,246,246.45
09/09/2019 11:59:59,246.4,246.45,246,246
09/09/2019 12:04:59,246.05,246.45,246.05,246.2
09/09/2019 12:09:56,246.25,246.45,246.05,246.45
09/09/2019 12:14:55,246.4,246.5,246,246.1
09/09/2019 12:19:59,246.05,246.25,245.95,246.15
09/09/2019 12:24:58,246.05,246.35,245.95,246
09/09/2019 12:29:57,246.05,246.2,245.95,246.2
09/09/2019 12:34:59,246.15,246.2,246.05,246.15
09/09/2019 12:39:58,246.15,246.35,246.15,246.2
09/09/2019 12:44:58,246.2,246.5,246.15,246.35
09/09/2019 12:49:58,246.35,246.45,246.35,246.35
09/09/2019 12:54:58,246.35,246.45,246.35,246.35
09/09/2019 12:59:58,246.4,246.4,246,246
09/09/2019 01:04:58,246.05,246.25,246,246
09/09/2019 01:09:58,246,246.15,246,246.1
09/09/2019 01:14:58,246.15,246.15,246,246.1
09/09/2019 01:19:57,246.05,246.15,246,246.1
09/09/2019 01:24:58,246.05,246.3,246,246.25
09/09/2019 01:29:59,246.3,246.3,245.85,246
09/09/2019 01:34:58,246,246.1,245.85,245.95
09/09/2019 01:39:59,245.95,246,245.5,245.55
09/09/2019 01:44:58,245.55,245.95,245.55,245.85
09/09/2019 01:49:58,245.8,245.8,244.6,244.75
09/09/2019 01:54:58,244.75,245.3,244.55,245.3
09/09/2019 01:59:58,245.05,245.3,244.75,245.05
09/09/2019 02:04:52,245,245.4,244.8,245
09/09/2019 02:09:58,244.8,245.4,244.8,245.15
09/09/2019 02:14:59,245.15,245.45,245,245.15
