time,Open,High,Low,Close
24-09-19 09:19:51:51,32.5,32.5,31.7,31.7
24-09-19 09:24:56:56,31.7,32.5,31.7,31.8
24-09-19 09:29:58:58,31.8,32.5,31.75,32.05
24-09-19 09:34:56:56,32.05,33.5,32.05,33.35
24-09-19 09:39:46:46,32.1,32.35,32.1,32.35
24-09-19 09:43:55:55,32.35,32.9,32,32
24-09-19 09:49:16:16,32,32,31.8,32
24-09-19 09:54:59:59,31.75,32,31.75,31.75
24-09-19 09:59:47:47,32.8,32.8,32.8,32.8
24-09-19 10:04:25:25,32.8,32.8,32,32.1
24-09-19 10:09:56:56,32.8,32.8,32,32
24-09-19 10:13:18:18,32.8,32.8,32,32
24-09-19 10:19:53:53,31.85,32.85,31.85,32
24-09-19 10:24:03:03,31.8,31.8,31.8,31.8
24-09-19 10:29:54:54,32,32.7,31.9,32.1
24-09-19 10:33:55:55,32.1,32.9,32.1,32.5
24-09-19 10:38:51:51,31.8,32.5,31.8,31.8
24-09-19 10:43:52:52,32.5,32.9,31.8,32.9
24-09-19 10:49:42:42,31.9,31.9,31.9,31.9
24-09-19 10:53:32:32,31.9,32.8,31.9,32.05
24-09-19 10:59:50:50,32,32.05,31.9,31.9
24-09-19 11:04:27:27,31.9,32.8,31.9,32.8
24-09-19 11:09:53:53,32.8,32.8,32,32
24-09-19 11:14:12:12,32,32.8,32,32.8
24-09-19 11:19:54:54,32,32,31.8,31.8
24-09-19 11:22:59:59,31.8,31.8,31.75,31.75
24-09-19 11:28:47:47,32.5,32.75,31.75,32.75
24-09-19 11:34:45:45,32.75,32.75,31.75,31.8
24-09-19 11:39:38:38,31.8,32.75,31.75,31.75
24-09-19 11:44:48:48,31.8,32.75,31.75,31.8
24-09-19 11:49:55:55,31.75,32.75,31.75,32.75
24-09-19 11:53:08:08,32.75,32.8,32.75,32.8
24-09-19 11:59:31:31,31.8,32.8,31.8,32.8
24-09-19 12:04:06:06,32.8,32.8,32.8,32.8
24-09-19 12:08:38:38,32.8,32.8,32.8,32.8
24-09-19 12:12:57:57,32,32,31.8,31.8
24-09-19 12:19:43:43,31.85,31.85,31.85,31.85
24-09-19 12:23:41:41,32.7,32.7,32.7,32.7
24-09-19 12:26:17:17,32.7,32.7,32.7,32.7
24-09-19 12:33:21:21,32.95,32.95,32,32
24-09-19 12:39:30:30,32,32.95,32,32.95
24-09-19 12:43:09:09,32.95,32.95,32.95,32.95
24-09-19 12:54:24:24,32,32.9,32,32
24-09-19 12:59:56:56,32.95,32.95,32,32
24-09-19 01:04:48:48,32,33,32,33
24-09-19 01:08:44:44,32.75,32.75,32,32
24-09-19 01:14:17:17,32.95,32.95,32.95,32.95
24-09-19 01:19:11:11,32.1,32.95,32.1,32.1
24-09-19 01:23:27:27,32.1,32.9,32.1,32.1
24-09-19 01:27:09:09,32.1,32.1,32,32
24-09-19 01:32:34:34,32,32,31.85,31.85
24-09-19 01:39:35:35,32,32,31.85,31.85
24-09-19 01:42:22:22,31.85,32.95,31.85,32.95
24-09-19 01:48:11:11,32.8,32.8,32.8,32.8
24-09-19 01:53:40:40,32.5,32.7,32,32
24-09-19 01:59:50:50,32,32,31.8,31.8
24-09-19 02:01:45:45,31.75,31.75,31.75,31.75
24-09-19 02:08:20:20,32,32,32,32
24-09-19 02:14:17:17,32,32.7,31.9,32.7
24-09-19 02:17:40:40,32.95,32.95,31.9,32.95
24-09-19 02:21:14:14,31.95,32.75,31.95,32.75
24-09-19 02:28:43:43,32.75,32.75,32.75,32.75
24-09-19 02:34:15:15,32,32.75,32,32.75
24-09-19 02:39:26:26,32,32.75,31.95,31.95
24-09-19 02:43:30:30,33,33,33,33
24-09-19 02:49:07:07,31.95,32.95,31.95,32.95
24-09-19 02:54:45:45,32.95,33,31.95,32.9
24-09-19 02:59:17:17,32.9,32.9,32.9,32.9
24-09-19 03:04:43:43,33,33,32.95,33
24-09-19 03:09:07:07,32.5,32.95,31.85,32
24-09-19 03:14:32:32,31.8,32.5,31.75,32.5
24-09-19 03:19:30:30,32.95,32.95,31.75,32.95
24-09-19 03:24:32:32,32.75,33,31.8,32.75
24-09-19 03:29:33:33,32.75,32.95,32,32.95
25-09-19 09:19:14:14,32.2,33.4,30.7,30.75
25-09-19 09:24:45:45,32.8,32.8,30.9,31.5
25-09-19 09:29:57:57,32.6,32.6,31.35,32.4
25-09-19 09:31:55:55,31,32.35,31,32.3
25-09-19 09:39:57:57,31.1,32.3,31.1,32.3
25-09-19 09:43:56:56,31.15,31.5,31.15,31.5
25-09-19 09:49:53:53,31.25,32.25,31.25,31.3
25-09-19 09:54:09:09,31.3,32.4,31.3,31.6
25-09-19 09:59:03:03,31.6,32.25,31.3,32.25
25-09-19 10:04:06:06,32,32,31.3,31.3
25-09-19 10:09:53:53,32.25,32.3,31.25,31.5
25-09-19 10:14:02:02,32.3,32.35,32,32.3
25-09-19 10:19:26:26,32.3,32.3,31.3,31.3
25-09-19 10:23:59:59,31.3,31.95,31.25,31.25
25-09-19 10:29:37:37,31.3,31.9,31.3,31.3
25-09-19 10:34:37:37,31.3,31.9,31.3,31.3
25-09-19 10:39:07:07,31.9,31.9,31.15,31.15
25-09-19 10:45:00:00,32.3,32.3,31.15,31.15
25-09-19 10:49:13:13,31.2,31.25,31.2,31.25
25-09-19 10:53:28:28,31.25,31.25,31.25,31.25
25-09-19 10:58:51:51,32,32,31.25,31.25
25-09-19 11:02:39:39,31.25,32,31.25,31.25
25-09-19 11:09:44:44,31.3,31.95,31.25,31.95
25-09-19 11:14:12:12,31.95,31.95,31.9,31.9
