time,Open,High,Low,Close
09/09/2019 9:19:58,1374.35,1380,1372.2,1379.95
09/09/2019 9:24:59,1379.95,1380.5,1376.05,1377.2
09/09/2019 9:29:58,1377.2,1377.85,1376,1377.85
09/09/2019 9:34:58,1377.35,1379.5,1376.85,1377
09/09/2019 9:39:51,1377.45,1378.45,1376.6,1378.3
09/09/2019 9:44:57,1377.8,1378.25,1377.15,1378
09/09/2019 9:49:55,1377.55,1378,1377,1377.2
09/09/2019 9:54:55,1377.75,1377.85,1377.15,1377.2
09/09/2019 9:59:58,1377.2,1377.45,1373.55,1374.15
09/09/2019 10:04:50,1374,1376.5,1374,1375.85
09/09/2019 10:09:54,1375.85,1377.65,1375.25,1377.1
09/09/2019 10:14:57,1377.65,1377.85,1374.8,1377.8
09/09/2019 10:19:54,1379,1379,1374.6,1375
09/09/2019 10:24:58,1375,1377,1375,1375.25
09/09/2019 10:29:58,1375.2,1377.1,1375.2,1376.6
09/09/2019 10:34:54,1375.9,1377.65,1375.9,1376.25
09/09/2019 10:39:54,1376.05,1377.2,1375.65,1376
09/09/2019 10:44:58,1376,1376.15,1372.75,1373.25
09/09/2019 10:49:34,1373.55,1374.75,1372.4,1373.55
09/09/2019 10:54:51,1373.3,1375.45,1373.3,1375
09/09/2019 10:59:51,1375,1376.15,1374.3,1375.05
09/09/2019 11:04:51,1375.05,1376.1,1374.95,1375.25
09/09/2019 11:09:57,1375.25,1376,1374.4,1375
09/09/2019 11:14:53,1374.6,1375,1372.25,1373.65
09/09/2019 11:19:47,1373.65,1374.75,1373.65,1373.65
09/09/2019 11:24:52,1374,1374.45,1373.45,1373.45
09/09/2019 11:29:41,1374.25,1376.1,1373.95,1375.5
09/09/2019 11:34:50,1375,1377,1374.25,1375
09/09/2019 11:39:54,1375,1375.9,1374.65,1375.2
09/09/2019 11:44:10,1375.5,1376.45,1374.35,1375
09/09/2019 11:49:10,1375,1375,1374,1374.45
09/09/2019 11:54:30,1375,1375,1372.35,1373
09/09/2019 11:59:45,1372.65,1374.5,1372.3,1372.3
09/09/2019 12:04:59,1372.3,1372.3,1368.85,1371
09/09/2019 12:09:58,1370.6,1370.6,1369,1370.1
09/09/2019 12:14:59,1370.05,1372,1366.1,1366.35
09/09/2019 12:19:51,1366.1,1367.85,1366.1,1367.35
09/09/2019 12:24:58,1366.6,1368.8,1366.55,1367.6
09/09/2019 12:29:58,1367.2,1371,1367.2,1369.5
09/09/2019 12:34:46,1369.6,1370.8,1369.5,1370.65
09/09/2019 12:39:56,1370,1371,1369.55,1370.05
09/09/2019 12:44:57,1370.15,1371,1370,1370
09/09/2019 12:49:55,1370.3,1371,1370.3,1371
09/09/2019 12:54:51,1371,1374,1370.2,1373.95
09/09/2019 12:59:46,1373.9,1373.9,1372.3,1372.7
09/09/2019 1:04:17,1372.95,1374,1372.7,1373.6
09/09/2019 1:09:47,1373.8,1374,1373.2,1374
09/09/2019 1:14:50,1374,1375.8,1373.15,1374.65
09/09/2019 1:19:28,1375,1375.4,1373.75,1374.95
09/09/2019 1:24:58,1374.95,1376,1374.85,1376
09/09/2019 1:29:57,1376,1376.6,1375.1,1375.6
09/09/2019 1:34:34,1375.1,1375.1,1372.6,1374
09/09/2019 1:39:50,1373.9,1374,1371.05,1372.2
09/09/2019 1:44:56,1372.5,1373.6,1371.5,1373.35
09/09/2019 1:49:45,1373.35,1373.35,1369.1,1370.15
09/09/2019 1:54:55,1370.9,1374,1370,1373.95
09/09/2019 1:59:59,1374,1375,1373,1374.4
