time,Open,High,Low,Close
01/07/2021 9:10:00,131.55,131.55,131.55,131.55
01/07/2021 9:15:00,131.5,130.05,131.5,128.95
01/07/2021 9:20:00,130.1,130.7,131,129.9
01/07/2021 9:25:00,130.7,130.75,131.1,130.4
01/07/2021 9:30:00,130.75,131.2,131.4,130.6
01/07/2021 9:35:00,131.2,131.3,131.8,131.2
01/07/2021 9:40:00,131.3,131.5,131.6,131.15
01/07/2021 9:45:00,131.45,131.3,131.5,131.1
01/07/2021 9:50:00,131.35,131.1,131.35,130.9
01/07/2021 9:55:00,131.15,130.8,131.15,130.8
01/07/2021 10:00:00,130.9,130.6,131.1,130.55
01/07/2021 10:05:00,130.65,130.9,131,130.4
01/07/2021 10:10:00,130.9,131.05,131.15,130.9
01/07/2021 10:15:00,131.05,131.35,131.4,130.85
01/07/2021 10:20:00,131.35,131.35,131.5,131.2
01/07/2021 10:25:00,131.35,131.2,131.4,131.15
01/07/2021 10:30:00,131.15,130.65,131.2,130.55
01/07/2021 10:35:00,130.65,130.2,130.7,130.1
01/07/2021 10:40:00,130.2,130.05,130.35,129.95
01/07/2021 10:45:00,130.05,129.8,130.05,129.8
01/07/2021 10:50:00,129.85,129,129.85,128.8
01/07/2021 10:55:00,129,129.05,129.4,128.85
01/07/2021 11:00:00,129.05,129.05,129.4,129
01/07/2021 11:05:00,129.1,128.7,129.2,128.65
01/07/2021 11:10:00,128.65,128.3,128.85,128.1
01/07/2021 11:15:00,128.3,128.3,128.55,128.15
01/07/2021 11:20:00,128.4,128.2,128.6,128.15
01/07/2021 11:25:00,128.3,127.95,128.3,127.85
01/07/2021 11:30:00,127.95,128.25,128.3,127.85
01/07/2021 11:35:00,128.25,128.25,128.4,128.1
01/07/2021 11:40:00,128.25,128.6,128.6,128.05
01/07/2021 11:45:00,128.55,128.5,128.7,128.4
01/07/2021 11:50:00,128.5,128.85,128.9,128.45
01/07/2021 11:55:00,128.85,128.7,129,128.6
01/07/2021 12:00:00,128.75,128.65,129,128.55
01/07/2021 12:05:00,128.7,128.5,128.75,128.5
01/07/2021 12:10:00,128.4,128.75,128.85,128.4
01/07/2021 12:15:00,128.75,128.85,128.9,128.7
01/07/2021 12:20:00,128.85,128.65,129,128.6
01/07/2021 12:25:00,128.7,128.7,128.85,128.6
01/07/2021 12:30:00,128.75,128.55,128.8,128.5
01/07/2021 12:35:00,128.55,128.9,128.95,128.4
01/07/2021 12:40:00,128.9,128.9,128.9,128.65
01/07/2021 12:45:00,128.95,129,129.05,128.8
01/07/2021 12:50:00,129,128.8,129,128.7
01/07/2021 12:55:00,128.85,128.5,128.85,128.5
01/07/2021 13:00:00,128.6,128.75,128.85,128.5
01/07/2021 13:05:00,128.75,128.7,128.9,128.65
01/07/2021 13:10:00,128.65,128.85,128.9,128.65
01/07/2021 13:15:00,128.9,128.75,128.9,128.7
01/07/2021 13:20:00,128.75,128.95,129.05,128.6
01/07/2021 13:25:00,128.9,128.9,129.1,128.9
01/07/2021 13:30:00,128.9,128.95,129.2,128.9
01/07/2021 13:35:00,129,128.9,129.05,128.85
01/07/2021 13:40:00,128.95,128.9,129.05,128.9
01/07/2021 13:45:00,128.95,128.5,129.05,128.4
01/07/2021 13:50:00,128.5,128.55,128.6,128.2
01/07/2021 13:55:00,128.55,128.6,128.85,128.5
01/07/2021 14:00:00,128.6,128.3,128.65,128.2
01/07/2021 14:05:00,128.3,128.45,128.5,128.1
01/07/2021 14:10:00,128.45,127.95,128.45,127.85
01/07/2021 14:15:00,128,127.85,128,127.55
01/07/2021 14:20:00,127.9,128.55,128.55,127.8
01/07/2021 14:25:00,128.55,128.4,128.9,128.35
01/07/2021 14:30:00,128.4,128.3,128.5,128
01/07/2021 14:35:00,128.25,128,128.3,127.85
01/07/2021 14:40:00,128.05,128,128.1,127.8
01/07/2021 14:45:00,127.95,127.95,128,127.75
01/07/2021 14:50:00,127.85,127.6,127.95,127.55
