time,Open,High,Low,Close
09/09/2019 9:19:59,427,431.7,426.4,431.25
09/09/2019 9:24:59,431.2,431.95,430.6,430.75
09/09/2019 9:29:59,430.9,431,430,430.55
09/09/2019 9:34:58,430.4,432.5,430.3,431.75
09/09/2019 9:39:59,431.75,432.35,431.5,432.1
09/09/2019 9:44:58,432.1,432.35,429.55,430.35
09/09/2019 9:49:59,430.35,430.4,428.4,429.05
09/09/2019 9:54:59,429.2,429.6,428.5,429.25
09/09/2019 9:59:59,429.25,429.35,428.7,429.05
09/09/2019 10:04:59,429.15,429.2,427.7,427.95
09/09/2019 10:09:59,427.95,430.5,427.95,430.25
09/09/2019 10:14:59,430.25,430.5,429.55,430.3
09/09/2019 10:19:57,430.25,431.5,430.2,431.3
09/09/2019 10:24:59,431.3,431.9,431.2,431.35
09/09/2019 10:29:59,431.3,431.5,430.8,431.25
09/09/2019 10:34:55,430.85,431.15,429.65,430.1
09/09/2019 10:39:58,430.1,430.5,429.4,429.4
09/09/2019 10:44:59,429.65,430,428.5,429
09/09/2019 10:49:59,429,429.45,428.75,429.3
09/09/2019 10:54:57,429.3,430,429.1,429.85
09/09/2019 10:59:59,429.6,429.7,429.35,429.4
09/09/2019 11:04:59,429.4,429.5,428.7,429.5
09/09/2019 11:09:59,429.3,429.65,428.5,428.55
09/09/2019 11:14:56,428.6,428.7,427.7,428.3
09/09/2019 11:19:59,428.3,428.5,428.05,428.4
09/09/2019 11:24:59,428.4,428.85,428.15,428.6
09/09/2019 11:29:59,428.6,429.7,428.6,429.45
09/09/2019 11:34:57,429.45,429.6,429.1,429.2
09/09/2019 11:39:58,429.1,429.4,428.7,429.4
09/09/2019 11:44:55,429.4,429.6,429,429.05
09/09/2019 11:49:57,429.25,429.5,429,429.3
09/09/2019 11:54:57,429.3,429.7,429,429.4
09/09/2019 11:59:58,429.45,429.7,429.2,429.45
09/09/2019 12:04:59,429.45,430.45,429.15,429.85
09/09/2019 12:09:58,429.95,430,429.25,429.75
09/09/2019 12:14:58,429.8,429.8,429.3,429.3
09/09/2019 12:19:57,429.3,430.3,429.3,430.1
09/09/2019 12:24:58,430,430,429,429.15
09/09/2019 12:29:57,428.7,429.3,428.65,429.05
09/09/2019 12:34:58,429.25,429.5,428.85,429
09/09/2019 12:39:59,429,429.2,428.65,428.7
09/09/2019 12:44:58,428.8,429.7,428.7,429
09/09/2019 12:49:57,429,429.4,428.8,429.05
09/09/2019 12:54:58,429.05,430.25,429.05,430.2
09/09/2019 12:59:58,430.1,431,429.6,430.3
09/09/2019 1:04:58,430.55,431.5,430.35,430.75
09/09/2019 1:09:58,430.7,431,430.15,430.15
09/09/2019 1:14:59,430.2,430.75,429.5,429.7
09/09/2019 1:19:57,429.75,430,429.3,429.4
09/09/2019 1:24:59,429.45,430,429.1,429.85
09/09/2019 1:29:56,429.85,430,429.5,429.75
09/09/2019 1:34:58,429.85,429.9,429.2,429.3
09/09/2019 1:39:58,429.3,429.65,429.1,429.6
