time,Open,High,Low,Close
09-09-19 09:19:13,460,461.65,458.35,458.35
09-09-19 09:24:47,458.35,460.85,458,460.85
09-09-19 09:29:55,459.7,461.9,459.55,461.9
09-09-19 09:34:01,461.9,461.9,459.1,459.75
09-09-19 09:38:51,459.1,460,458.05,460
09-09-19 09:44:48,460.95,461.85,460,461.1
09-09-19 09:49:35,460.35,461.5,460.3,461.5
09-09-19 09:54:43,461.5,461.7,461.5,461.7
09-09-19 09:58:03,461.7,461.9,461.7,461.9
09-09-19 10:04:47,461.25,461.35,461.2,461.2
09-09-19 10:09:49,461.2,461.85,461.2,461.3
09-09-19 10:14:18,461.7,461.8,461.35,461.8
09-09-19 10:19:57,461.8,461.9,459.65,461.25
09-09-19 10:24:29,461.25,461.55,459.05,460
09-09-19 10:29:39,460,461,460,461
09-09-19 10:33:31,461,461,460.05,460.1
09-09-19 10:39:55,460.25,460.7,460.2,460.7
09-09-19 10:44:53,460.7,460.7,460.7,460.7
09-09-19 10:49:46,460.2,460.65,460.05,460.4
09-09-19 10:54:39,460.5,460.9,460.5,460.9
09-09-19 10:56:41,460.6,460.9,460.6,460.9
09-09-19 11:04:56,460.9,461,460.9,461
09-09-19 11:09:43,461,461,460.6,460.6
09-09-19 11:15:00,460.6,461,460.6,461
09-09-19 11:19:30,460.6,461,460.6,460.6
09-09-19 11:24:44,461,461,461,461
09-09-19 11:29:48,460.65,461,460.65,460.95
09-09-19 11:34:19,460.95,461,460.95,461
09-09-19 11:36:27,460.65,461,460.65,461
09-09-19 11:44:37,460.95,461,460.6,460.75
09-09-19 11:47:48,460.95,461,460.05,461
09-09-19 11:54:53,460.95,460.95,460,460
09-09-19 11:59:44,460.4,460.4,459.65,460.2
09-09-19 12:04:51,460,460,459.6,459.95
09-09-19 12:09:57,460,460.5,460,460
09-09-19 12:14:36,459.95,460,459,459.5
09-09-19 12:19:28,459.95,460.05,459.95,460.05
09-09-19 12:23:42,459.95,460.7,459.5,459.5
09-09-19 12:29:00,460.45,460.45,460,460
09-09-19 12:33:05,460,460,459.8,459.8
09-09-19 12:39:42,459.8,459.95,459.6,459.95
09-09-19 12:44:28,459.5,459.5,459.5,459.5
09-09-19 12:49:54,460,460.05,459.15,460
09-09-19 12:54:17,459.5,459.5,459.5,459.5
09-09-19 12:59:32,459.6,459.85,459.6,459.85
09-09-19 01:02:49,459.95,459.95,459.5,459.5
09-09-19 01:08:05,460,460.25,460,460
09-09-19 01:13:35,460,460,459.4,459.95
09-09-19 01:19:54,460,460,460,460
09-09-19 01:24:35,459.2,459.2,458.5,458.5
09-09-19 01:27:48,458.5,459,458.1,459
09-09-19 01:33:11,458.7,459.35,458.7,459
09-09-19 01:38:55,459,459,458.25,458.65
09-09-19 01:43:43,458.75,458.95,458.45,458.95
09-09-19 01:49:04,459.2,459.2,457.8,458
09-09-19 01:54:57,458,458.7,457.8,458.7
09-09-19 01:57:29,458.85,458.85,458.85,458.85
09-09-19 02:04:42,457.75,458.25,457.55,457.95
09-09-19 02:09:19,457.6,458.4,457.6,458.4
09-09-19 02:14:14,458.6,459.2,458.6,459
09-09-19 02:17:32,458.3,458.95,458.3,458.95
09-09-19 02:23:57,458.35,458.35,458.2,458.35
09-09-19 02:29:21,458,458,457.55,458
09-09-19 02:33:49,458.4,458.95,457.05,457.15
09-09-19 02:37:38,457.2,458.45,456.55,457.75
09-09-19 02:44:07,458.4,458.5,457.95,458.45
09-09-19 02:48:02,458.4,458.45,457.9,457.9
09-09-19 02:54:36,458,459.85,457.5,458.75
09-09-19 02:57:36,459,459,457.6,458.5
09-09-19 03:04:55,458.6,459.95,458.2,459.95
09-09-19 03:09:55,460,460.8,459.85,460.05
09-09-19 03:14:58,460,460.65,459.05,460
09-09-19 03:19:14,460.4,460.4,458.6,459.05
09-09-19 03:24:39,460.65,460.75,459.5,460
09-09-19 03:29:56,460,460,459.15,460
11-09-19 09:19:53,461.85,461.95,458.4,458.4
11-09-19 09:24:05,458.4,459.85,458.3,459.85
11-09-19 09:29:40,460,463.5,460,463
11-09-19 09:34:27,463.65,463.9,461.05,461.95
11-09-19 09:39:34,461.9,463.3,461.9,463.25
11-09-19 09:44:54,463.25,463.8,462.65,463.5
11-09-19 09:49:50,463.6,467.95,463.5,467.15
11-09-19 09:54:54,467,467.95,466,467
11-09-19 09:59:40,467,467,466.05,466.05
11-09-19 10:04:17,465,465.7,463.25,463.25
11-09-19 10:09:36,463.45,463.45,462,462.15
11-09-19 10:14:24,462.95,463,461.85,461.85
11-09-19 10:19:47,462,462.55,462,462.05
11-09-19 10:23:51,462.75,462.75,462.1,462.1
