time,Open,High,Low,Close
09/09/2019 9:19:53,3914,3915.7,3890,3909.95
09/09/2019 9:24:43,3908.45,3908.45,3896.05,3905.55
09/09/2019 9:29:57,3908,3910,3900,3900.25
09/09/2019 9:34:59,3895.85,3899.6,3893.6,3899.5
09/09/2019 9:39:55,3898,3899.55,3896.3,3896.3
09/09/2019 9:44:53,3896.3,3898,3891.85,3893.5
09/09/2019 9:49:59,3894.05,3911.45,3890,3910
09/09/2019 9:54:56,3908.15,3911.2,3902.85,3905.4
09/09/2019 9:59:54,3907.95,3909,3905.5,3906
09/09/2019 10:04:54,3906.9,3923.9,3906.2,3920.35
09/09/2019 10:09:51,3923.8,3929.45,3921.55,3927.95
09/09/2019 10:14:59,3929.2,3936.9,3927,3936.9
09/09/2019 10:19:59,3936.9,3940.5,3929,3933
09/09/2019 10:24:53,3932.2,3935.95,3930,3930
09/09/2019 10:29:59,3931.2,3935,3920.15,3920.8
09/09/2019 10:34:57,3921,3935,3921,3932.5
09/09/2019 10:39:58,3933.95,3940,3931.8,3939
09/09/2019 10:44:57,3939.95,3946,3934.9,3938.5
09/09/2019 10:49:58,3940.6,3940.6,3928,3933
09/09/2019 10:54:59,3931.1,3942,3931.1,3942
09/09/2019 10:59:59,3941.6,3954.5,3939.65,3949.8
09/09/2019 11:04:59,3954.4,3960,3949.4,3959.95
09/09/2019 11:09:54,3959.95,3960,3951,3957.75
09/09/2019 11:14:55,3957.45,3958.15,3950,3950
09/09/2019 11:19:58,3951.95,3954,3947,3949.85
09/09/2019 11:24:59,3949,3954,3930,3935
09/09/2019 11:29:57,3935,3936.45,3928,3930
09/09/2019 11:34:57,3928.25,3930,3925,3928.25
09/09/2019 11:39:59,3926.6,3929.55,3920.45,3929.55
09/09/2019 11:44:57,3929.2,3930,3926.05,3930
09/09/2019 11:49:57,3930,3930,3929,3929.4
09/09/2019 11:54:57,3929.4,3930,3925.9,3930
09/09/2019 11:59:57,3930,3930,3926.3,3929
09/09/2019 12:04:57,3929.05,3930,3922.75,3927.35
09/09/2019 12:09:57,3927.95,3930,3926.6,3929
09/09/2019 12:14:58,3929,3929.5,3926.25,3928.4
09/09/2019 12:19:59,3929.5,3930,3928.1,3928.95
09/09/2019 12:24:57,3929.8,3930,3922.75,3924.65
09/09/2019 12:29:57,3924.75,3929.85,3922,3929.8
09/09/2019 12:34:57,3929.75,3930,3929.45,3929.9
09/09/2019 12:39:59,3929.9,3930,3926.25,3928.1
09/09/2019 12:44:57,3929.4,3930,3928.25,3929.8
09/09/2019 12:49:57,3929.45,3930,3928.35,3929.75
09/09/2019 12:54:57,3929.7,3929.7,3928,3929.45
09/09/2019 12:59:57,3929.5,3929.5,3927.05,3928.15
09/09/2019 1:04:56,3928,3929,3925.55,3927.05
09/09/2019 1:09:59,3927,3929.9,3927,3929.7
09/09/2019 1:14:57,3929.8,3930,3927.55,3929.9
09/09/2019 1:19:58,3929.45,3930,3912,3920
09/09/2019 1:24:59,3920,3923.95,3919,3919.75
09/09/2019 1:29:58,3920,3920,3915.95,3915.95
09/09/2019 1:34:59,3915.95,3918.9,3910.6,3915.95
09/09/2019 1:39:59,3915.2,3915.9,3910,3911
09/09/2019 1:44:56,3911.05,3913.15,3910.6,3911.5
09/09/2019 1:49:59,3911.7,3911.7,3893.6,3896
09/09/2019 1:54:59,3895.2,3900.05,3893.65,3899.95
09/09/2019 1:59:56,3899.95,3900,3894,3894.95
09/09/2019 2:04:59,3893.85,3900,3893.85,3899.9
09/09/2019 2:09:59,3899.85,3900,3899.55,3899.95
09/09/2019 2:14:57,3900.05,3908,3899.85,3904.95
09/09/2019 2:19:59,3904.95,3906.75,3903.3,3904.85
09/09/2019 2:24:57,3905,3905,3900,3904.95
09/09/2019 2:29:57,3905,3905,3902.55,3903.85
09/09/2019 2:34:57,3904.45,3905,3902.65,3904.9
09/09/2019 2:39:57,3904.9,3913,3903.4,3912.65
09/09/2019 2:44:59,3911.75,3912.2,3907.45,3907.5
09/09/2019 2:49:56,3906.05,3910.05,3905,3906.85
09/09/2019 2:54:57,3905.3,3911.85,3905.3,3910.85
09/09/2019 2:59:57,3910.7,3910.7,3907.9,3908.85
09/09/2019 3:04:59,3908.9,3908.9,3905.2,3908.9
09/09/2019 3:09:59,3908.9,3909,3907.95,3908
09/09/2019 3:14:59,3908,3909,3905,3905.5
09/09/2019 3:19:59,3905.5,3907,3900,3903
09/09/2019 3:24:57,3902.9,3905,3900.1,3904.05
09/09/2019 3:29:59,3903.65,3905.6,3900.5,3905.6
11/09/2019 9:19:59,3939.95,3939.95,3917,3926.8
11/09/2019 9:24:57,3926.8,3935,3924.05,3929.95
11/09/2019 9:29:58,3929,3936.85,3924,3929.3
11/09/2019 9:34:58,3930.15,3932.9,3928.1,3929.05
11/09/2019 9:39:57,3929.05,3931.7,3922.05,3924.3
11/09/2019 9:44:59,3924,3930,3923,3929
11/09/2019 9:49:59,3929.5,3944,3929.5,3937
11/09/2019 9:54:53,3937.5,3937.5,3924.2,3928.55
11/09/2019 9:59:59,3930,3930.45,3919,3926.95
11/09/2019 10:04:55,3925,3928.55,3919.45,3923
11/09/2019 10:09:57,3923.15,3924.95,3918.4,3920.8
11/09/2019 10:14:58,3920,3924.25,3918.3,3921.6
11/09/2019 10:19:55,3922.35,3924.2,3920.35,3923.25
11/09/2019 10:24:58,3923.25,3928.35,3923,3926.8
11/09/2019 10:29:58,3927.25,3938.15,3926,3934.5
11/09/2019 10:34:55,3935.5,3936.55,3930.1,3933.8
11/09/2019 10:39:59,3933.8,3938.75,3932.3,3937.75
11/09/2019 10:44:57,3936.5,3937,3931,3931.5
11/09/2019 10:49:58,3931,3932.2,3926.05,3932.15
11/09/2019 10:54:53,3930.15,3931.2,3928,3930.55
11/09/2019 10:59:55,3930.95,3932.95,3928,3929.05
11/09/2019 11:04:58,3929.05,3931.65,3925.5,3927
11/09/2019 11:09:56,3927.1,3928.65,3922,3924
11/09/2019 11:14:58,3923.75,3924,3918.8,3918.8
11/09/2019 11:19:59,3918.8,3918.95,3908.1,3910.95
11/09/2019 11:24:59,3910.9,3914.7,3906,3914.45
11/09/2019 11:29:57,3914.4,3914.7,3907.1,3909.5
11/09/2019 11:34:56,3909.85,3910,3909,3910
11/09/2019 11:39:55,3909.95,3912,3908,3912
11/09/2019 11:44:59,3911.95,3913.65,3906.8,3909
11/09/2019 11:49:59,3909.3,3910,3906.5,3909.9
11/09/2019 11:54:59,3909.95,3910,3908,3908.5
11/09/2019 11:59:59,3908.85,3910,3907.2,3910
11/09/2019 12:04:59,3909.95,3920.95,3909.6,3917.95
11/09/2019 12:09:59,3918,3918,3909.2,3916.45
11/09/2019 12:14:59,3916.5,3916.9,3913.05,3914.05
11/09/2019 12:19:59,3914,3915,3912.1,3914.95
11/09/2019 12:24:59,3914.45,3915,3912,3914.9
11/09/2019 12:29:59,3915,3915,3913.2,3914.95
11/09/2019 12:34:59,3915,3915,3914,3914.9
11/09/2019 12:39:58,3914.9,3915,3909,3910
11/09/2019 12:44:59,3909.9,3914,3909.45,3909.95
11/09/2019 12:49:59,3910,3910,3909.5,3909.95
11/09/2019 12:54:59,3910,3910.85,3909,3909.95
11/09/2019 12:59:59,3910,3910,3906.4,3909.6
11/09/2019 1:04:59,3909.55,3911.95,3909.5,3911.9
11/09/2019 1:09:59,3911.95,3912.3,3908.6,3910.85
11/09/2019 1:14:53,3910.8,3911,3908.05,3910
11/09/2019 1:19:57,3909.9,3910,3907.05,3907.05
11/09/2019 1:24:58,3907.75,3910,3907,3909.45
11/09/2019 1:29:55,3909.7,3911.05,3908,3910.95
11/09/2019 1:34:57,3910.95,3911.5,3908.55,3908.6
11/09/2019 1:39:53,3908.55,3911,3908.55,3910.9
11/09/2019 1:44:53,3910.85,3910.85,3909,3910.65
11/09/2019 1:49:59,3910.6,3910.7,3895,3907.6
11/09/2019 1:54:53,3907.5,3910.65,3906.5,3909.85
11/09/2019 1:59:58,3909.85,3911,3908,3910.85
11/09/2019 2:04:58,3910.95,3917.15,3910,3913.35
11/09/2019 2:09:58,3913.7,3916,3912,3914
11/09/2019 2:14:59,3913.95,3914.5,3913.8,3914
11/09/2019 2:19:58,3913.95,3914,3912.1,3914
11/09/2019 2:24:58,3914,3914,3913.3,3914
11/09/2019 2:29:58,3913.95,3914,3912.4,3914
11/09/2019 2:34:59,3913.95,3914,3913.3,3913.95
11/09/2019 2:39:58,3913.9,3914,3910.85,3913.95
11/09/2019 2:44:59,3913.95,3914,3911.1,3912.95
11/09/2019 2:49:58,3912.85,3912.9,3907.65,3909
11/09/2019 2:54:59,3909.35,3911.85,3906.5,3909.35
11/09/2019 2:59:58,3908.95,3911.7,3904,3910.7
11/09/2019 3:04:58,3910.65,3911.5,3907.05,3911
11/09/2019 3:09:59,3907.8,3911.5,3906.05,3909.8
11/09/2019 3:14:58,3908.95,3910.15,3901,3902.35
11/09/2019 3:19:59,3902.3,3904.9,3894.95,3899.95
11/09/2019 3:24:58,3899.95,3903.95,3895.8,3899
11/09/2019 3:30:00,3898.95,3901.3,3892.6,3901.3
