time,Open,High,Low,Close
09/09/2019 09:19:59,60.3,60.65,59.9,60.4
09/09/2019 09:24:59,60.35,61.1,60.35,61.1
09/09/2019 09:29:59,61.1,61.15,60.4,60.95
09/09/2019 09:34:58,60.9,61,60.25,60.4
09/09/2019 09:39:59,60.4,60.5,60.05,60.1
09/09/2019 09:44:59,60.15,60.55,60.1,60.55
09/09/2019 09:49:59,60.55,60.75,60.3,60.7
09/09/2019 09:54:59,60.65,60.9,60.6,60.85
09/09/2019 09:59:59,60.85,60.85,60.5,60.6
09/09/2019 10:04:58,60.5,60.85,60.3,60.8
09/09/2019 10:09:58,60.95,61.15,60.85,61.15
09/09/2019 10:14:59,61.1,61.35,60.85,61
09/09/2019 10:19:59,61.05,61.35,61,61.25
09/09/2019 10:24:59,61.25,61.25,60.8,61
09/09/2019 10:29:59,61,61.05,60.85,60.85
09/09/2019 10:34:59,60.85,61.15,60.8,61.15
09/09/2019 10:39:59,61.05,61.5,61.05,61.4
09/09/2019 10:44:58,61.3,61.65,61.3,61.4
09/09/2019 10:49:58,61.45,61.45,61.2,61.25
09/09/2019 10:54:58,61.3,61.4,61.15,61.3
09/09/2019 10:59:59,61.3,61.65,61.2,61.55
09/09/2019 11:04:59,61.6,61.8,61.55,61.7
09/09/2019 11:09:59,61.6,61.85,61.6,61.7
09/09/2019 11:14:59,61.8,61.85,61.65,61.7
09/09/2019 11:19:59,61.65,61.7,61.45,61.5
09/09/2019 11:24:59,61.55,61.8,61.5,61.75
09/09/2019 11:29:59,61.8,61.8,61.6,61.75
09/09/2019 11:34:59,61.75,61.95,61.7,61.9
09/09/2019 11:39:59,61.85,61.9,61.6,61.7
09/09/2019 11:44:59,61.75,61.8,61.65,61.7
09/09/2019 11:49:59,61.75,61.75,61.6,61.65
09/09/2019 11:54:59,61.6,61.65,61.4,61.55
09/09/2019 11:59:57,61.55,61.6,61.4,61.5
09/09/2019 12:04:59,61.45,61.85,61.4,61.8
09/09/2019 12:09:59,61.75,61.8,61.6,61.8
09/09/2019 12:14:58,61.8,61.8,61.6,61.6
09/09/2019 12:19:56,61.7,61.75,61.6,61.65
09/09/2019 12:24:59,61.7,61.75,61.45,61.5
09/09/2019 12:29:59,61.45,61.6,61.45,61.55
09/09/2019 12:34:58,61.55,61.75,61.5,61.7
09/09/2019 12:39:59,61.7,61.75,61.6,61.65
09/09/2019 12:44:58,61.65,61.8,61.65,61.8
09/09/2019 12:49:59,61.8,61.8,61.6,61.6
09/09/2019 12:54:58,61.65,61.7,61.6,61.65
09/09/2019 12:59:58,61.65,61.7,61.45,61.45
09/09/2019 01:04:59,61.45,61.55,61.25,61.4
09/09/2019 01:09:59,61.35,61.5,61.3,61.35
09/09/2019 01:14:58,61.4,61.6,61.35,61.6
09/09/2019 01:19:58,61.6,61.6,61.4,61.55
09/09/2019 01:24:58,61.55,61.75,61.35,61.7
09/09/2019 01:29:59,61.7,61.85,61.6,61.75
09/09/2019 01:34:58,61.75,61.8,61.6,61.7
09/09/2019 01:39:57,61.75,61.75,61.45,61.6
09/09/2019 01:44:59,61.6,61.7,61.5,61.6
09/09/2019 01:49:59,61.65,61.65,61.35,61.45
09/09/2019 01:54:58,61.45,61.7,61.35,61.65
09/09/2019 01:59:59,61.6,61.75,61.5,61.6
09/09/2019 02:04:58,61.55,61.7,61.55,61.65
09/09/2019 02:09:59,61.6,62.75,61.55,62.55
09/09/2019 02:14:59,62.5,62.95,62.25,62.85
09/09/2019 02:19:59,62.85,63.05,62.7,62.7
09/09/2019 02:24:59,62.7,63.9,62.7,63.35
09/09/2019 02:29:58,63.4,63.9,63.35,63.8
09/09/2019 02:34:59,63.85,64.1,63.55,63.7
09/09/2019 02:39:58,63.75,63.75,63.35,63.35
09/09/2019 02:44:59,63.35,63.45,63,63.05
09/09/2019 02:49:59,63.05,63.25,62.85,62.95
09/09/2019 02:54:59,63,63.1,62.7,62.8
09/09/2019 02:59:59,62.85,63.25,62.75,63.1
09/09/2019 03:04:59,63.05,63.35,63.05,63.15
09/09/2019 03:09:59,63.2,63.2,63,63.05
09/09/2019 03:14:59,63.1,63.2,63,63.1
09/09/2019 03:19:58,63.1,63.3,63.05,63.15
09/09/2019 03:24:59,63.15,63.2,62.75,62.9
09/09/2019 03:29:59,62.95,63.05,62.8,62.95
11/09/2019 09:19:59,66,67.2,65.4,65.7
11/09/2019 09:24:59,65.75,67.25,65.5,67.25
11/09/2019 09:29:59,67.4,67.95,66.55,66.8
11/09/2019 09:34:59,66.75,66.9,66.6,66.65
11/09/2019 09:39:59,66.7,66.95,66.6,66.65
11/09/2019 09:44:59,66.6,66.9,66.6,66.9
11/09/2019 09:49:59,66.9,66.9,66.7,66.8
11/09/2019 09:54:59,66.75,66.9,66.6,66.7
11/09/2019 09:59:59,66.7,67.6,66.65,67.25
11/09/2019 10:04:59,67.3,68.2,67.15,67.9
11/09/2019 10:09:59,67.9,68.4,67.45,68.3
11/09/2019 10:14:59,68.2,68.5,68.05,68.15
11/09/2019 10:19:59,67.95,68.1,67.7,67.95
11/09/2019 10:24:59,67.95,68.15,67.85,68.15
11/09/2019 10:29:59,68.1,68.25,67.7,67.85
11/09/2019 10:34:59,67.85,68.35,67.85,68.1
11/09/2019 10:39:59,68.15,68.35,68.05,68.15
11/09/2019 10:44:58,68.2,68.2,67.9,68.05
11/09/2019 10:49:59,68.05,68.2,68,68.05
11/09/2019 10:54:59,68.1,68.5,68,68.4
11/09/2019 10:59:59,68.4,68.75,68.25,68.45
11/09/2019 11:04:59,68.4,68.6,68.35,68.6
11/09/2019 11:09:59,68.6,68.9,68.45,68.9
11/09/2019 11:14:59,68.85,69.55,68.8,69.35
11/09/2019 11:19:59,69.45,70.7,69.35,70.3
11/09/2019 11:24:58,70.25,71.25,70.15,70.95
11/09/2019 11:29:59,70.95,72.7,70.95,72.35
11/09/2019 11:34:59,72.3,72.4,71.4,71.55
11/09/2019 11:39:59,71.55,72.3,71.15,72.3
11/09/2019 11:44:59,72.3,72.4,71.8,72.05
11/09/2019 11:49:58,72.1,72.1,71.6,71.6
11/09/2019 11:54:59,71.6,71.95,71.25,71.9
11/09/2019 11:59:59,71.9,72.15,71.5,71.7
11/09/2019 12:04:59,71.65,72,71.65,71.95
11/09/2019 12:09:59,71.95,72,71.65,71.7
11/09/2019 12:14:58,71.75,71.75,71.4,71.65
11/09/2019 12:19:59,71.7,71.75,71.6,71.6
11/09/2019 12:24:58,71.6,71.7,71.3,71.3
11/09/2019 12:29:59,71.3,71.3,70.65,70.75
11/09/2019 12:34:59,70.75,71.35,70.7,71.1
11/09/2019 12:39:59,71.1,71.4,70.9,71.25
11/09/2019 12:44:59,71.2,71.35,71.15,71.2
11/09/2019 12:49:59,71.15,71.6,71.15,71.6
11/09/2019 12:54:59,71.6,71.85,71.55,71.8
11/09/2019 12:59:59,71.8,71.95,71.6,71.7
11/09/2019 01:04:59,71.65,71.75,71.45,71.5
11/09/2019 01:09:59,71.5,71.7,71.45,71.7
11/09/2019 01:14:58,71.65,71.7,71.5,71.65
11/09/2019 01:19:59,71.6,71.7,71.3,71.35
11/09/2019 01:24:59,71.35,71.6,71.35,71.5
11/09/2019 01:29:59,71.55,71.7,71.4,71.6
11/09/2019 01:34:59,71.55,71.65,71.45,71.45
11/09/2019 01:39:58,71.5,71.5,71.1,71.15
11/09/2019 01:44:59,71.15,71.9,71.1,71.6
11/09/2019 01:49:59,71.65,71.65,71.15,71.3
11/09/2019 01:54:58,71.25,71.65,71.25,71.65
11/09/2019 01:59:59,71.65,72.15,71.6,72.05
11/09/2019 02:04:59,72,72.35,71.7,71.9
11/09/2019 02:09:58,71.85,72.3,71.85,72.2
11/09/2019 02:14:59,72.2,72.2,71.9,71.95
11/09/2019 02:19:59,71.9,71.95,71.7,71.9
11/09/2019 02:24:59,71.85,72.1,71.8,72.05
11/09/2019 02:29:59,72,72.05,71.75,71.75
11/09/2019 02:34:59,71.75,71.8,71.3,71.5
11/09/2019 02:39:59,71.5,71.6,71.3,71.4
11/09/2019 02:44:59,71.35,71.6,71.35,71.55
11/09/2019 02:49:59,71.5,71.5,70.75,71
11/09/2019 02:54:59,70.95,71.05,70.4,70.55
11/09/2019 02:59:59,70.55,71.45,70.5,71.35
11/09/2019 03:04:59,71.4,71.85,71.2,71.6
11/09/2019 03:09:59,71.5,71.8,71.2,71.55
11/09/2019 03:14:59,71.6,71.7,71.5,71.65
11/09/2019 03:19:59,71.6,71.7,71.3,71.7
11/09/2019 03:24:58,71.7,72,71.5,71.9
11/09/2019 03:30:00,71.85,71.9,71.3,71.3
12/09/2019 09:19:59,71.65,72.2,70.9,71
12/09/2019 09:24:59,70.95,71.2,69.75,69.85
12/09/2019 09:29:59,69.85,70.2,69.35,69.4
12/09/2019 09:34:59,69.45,70.75,69.4,70.3
12/09/2019 09:39:58,70.25,70.4,69.85,69.9
12/09/2019 09:44:58,69.9,70.3,69.85,70.05
